HOUR_OF_THE_DAY,NUM,ACTIVITY
00,7,Fruta
00,26,Congelado
00,138,Refrigerado
01,6,Fruta
01,64,Congelado
01,199,Refrigerado
02,18,Fruta
02,86,Congelado
02,220,Refrigerado
03,39,Fruta
03,134,Congelado
03,402,Refrigerado
04,51,Fruta
04,189,Congelado
04,656,Refrigerado
05,78,Congelado
05,111,Fruta
05,365,Refrigerado
06,76,Congelado
06,165,Fruta
06,301,Refrigerado
07,163,Congelado
07,203,Refrigerado
07,266,Fruta
08,194,Refrigerado
08,201,Congelado
08,270,Fruta
09,129,Refrigerado
09,172,Fruta
09,181,Congelado
10,62,Refrigerado
10,138,Fruta
10,152,Congelado
11,46,Refrigerado
11,82,Fruta
11,103,Congelado
12,48,Congelado
12,48,Fruta
12,65,Refrigerado
13,13,Fruta
13,49,Congelado
13,66,Refrigerado
14,7,Fruta
14,34,Congelado
14,171,Refrigerado
15,5,Fruta
15,35,Congelado
15,268,Refrigerado
16,1,Fruta
16,20,Congelado
16,170,Refrigerado
17,2,Fruta
17,28,Congelado
17,127,Refrigerado
18,19,Congelado
18,110,Refrigerado
19,1,Fruta
19,22,Congelado
19,65,Refrigerado
20,9,Congelado
20,31,Refrigerado
21,2,Fruta
21,16,Congelado
21,31,Refrigerado
22,2,Fruta
22,18,Congelado
22,75,Refrigerado
23,3,Fruta
23,14,Congelado
23,51,Refrigerado
