NUMITEMS,MMDDHH,TYPEITEMS
4,00,AUTENTR
10,00,DENTRO
5,00,REGISTROS
11,01,AUTENTR
16,01,DENTRO
14,01,REGISTROS
18,02,AUTENTR
25,02,DENTRO
19,02,REGISTROS
29,03,AUTENTR
36,03,DENTRO
26,03,REGISTROS
37,04,AUTENTR
40,04,DENTRO
36,04,REGISTROS
24,05,AUTENTR
25,05,DENTRO
20,05,REGISTROS
18,06,AUTENTR
8,06,DENTRO
18,06,REGISTROS
13,07,AUTENTR
61,07,DENTRO
16,07,REGISTROS
14,08,AUTENTR
11,08,DENTRO
19,08,REGISTROS
18,09,AUTENTR
19,09,DENTRO
17,09,REGISTROS
5,10,AUTENTR
12,10,DENTRO
4,10,REGISTROS
7,11,AUTENTR
50,11,DENTRO
5,11,REGISTROS
4,12,AUTENTR
6,12,DENTRO
2,12,REGISTROS
1,13,REGISTROS
1,14,AUTENTR
5,14,DENTRO
1,14,REGISTROS
13,15,AUTENTR
15,15,DENTRO
8,15,REGISTROS
5,16,AUTENTR
28,16,DENTRO
3,16,REGISTROS
9,17,AUTENTR
14,17,DENTRO
11,17,REGISTROS
5,18,AUTENTR
9,18,DENTRO
2,18,REGISTROS
4,19,AUTENTR
7,19,DENTRO
4,19,REGISTROS
2,20,AUTENTR
3,20,DENTRO
2,20,REGISTROS
3,21,AUTENTR
5,21,DENTRO
4,21,REGISTROS
6,22,AUTENTR
5,22,DENTRO
10,22,REGISTROS
4,23,AUTENTR
35,23,DENTRO
6,23,REGISTROS
