NUMITEMS,MMDDHH,TYPEITEMS
4,00,AUTENTR
7,00,DENTRO
5,00,REGISTROS
11,01,AUTENTR
12,01,DENTRO
14,01,REGISTROS
18,02,AUTENTR
19,02,DENTRO
19,02,REGISTROS
29,03,AUTENTR
33,03,DENTRO
26,03,REGISTROS
37,04,AUTENTR
40,04,DENTRO
36,04,REGISTROS
24,05,AUTENTR
20,05,DENTRO
20,05,REGISTROS
18,06,AUTENTR
3,06,DENTRO
18,06,REGISTROS
13,07,AUTENTR
49,07,DENTRO
16,07,REGISTROS
14,08,AUTENTR
5,08,DENTRO
19,08,REGISTROS
18,09,AUTENTR
7,09,DENTRO
17,09,REGISTROS
5,10,AUTENTR
6,10,DENTRO
4,10,REGISTROS
7,11,AUTENTR
44,11,DENTRO
5,11,REGISTROS
4,12,AUTENTR
1,12,DENTRO
2,12,REGISTROS
1,13,REGISTROS
1,14,AUTENTR
1,14,DENTRO
1,14,REGISTROS
13,15,AUTENTR
6,15,DENTRO
8,15,REGISTROS
5,16,AUTENTR
22,16,DENTRO
3,16,REGISTROS
9,17,AUTENTR
7,17,DENTRO
11,17,REGISTROS
5,18,AUTENTR
3,18,DENTRO
2,18,REGISTROS
4,19,AUTENTR
3,19,DENTRO
4,19,REGISTROS
2,20,AUTENTR
1,20,DENTRO
2,20,REGISTROS
3,21,AUTENTR
2,21,DENTRO
4,21,REGISTROS
6,22,AUTENTR
1,22,DENTRO
10,22,REGISTROS
4,23,AUTENTR
31,23,DENTRO
6,23,REGISTROS
