NUMITEMS,MMDDHH,TYPEITEMS
6,00,AUTENTR
3,00,DENTRO
8,00,REGISTROS
10,01,AUTENTR
9,01,DENTRO
9,01,REGISTROS
10,02,AUTENTR
6,02,DENTRO
13,02,REGISTROS
19,03,AUTENTR
11,03,DENTRO
20,03,REGISTROS
36,04,AUTENTR
15,04,DENTRO
32,04,REGISTROS
26,05,AUTENTR
3,05,DENTRO
28,05,REGISTROS
20,06,AUTENTR
9,06,DENTRO
25,06,REGISTROS
24,07,AUTENTR
43,07,AUTSAL
21,07,DENTRO
8,07,FUERA
16,07,REGISTROS
17,08,AUTENTR
19,08,AUTSAL
16,08,DENTRO
11,08,FUERA
17,08,REGISTROS
10,09,AUTENTR
137,09,AUTSAL
13,09,DENTRO
8,09,FUERA
6,09,REGISTROS
8,10,AUTENTR
48,10,AUTSAL
9,10,DENTRO
11,10,FUERA
9,10,REGISTROS
7,11,AUTENTR
10,11,AUTSAL
5,11,DENTRO
4,11,FUERA
6,11,REGISTROS
3,12,AUTENTR
7,12,AUTSAL
5,12,DENTRO
8,12,FUERA
2,12,REGISTROS
5,13,AUTENTR
11,13,AUTSAL
6,13,DENTRO
2,13,FUERA
6,13,REGISTROS
7,14,AUTENTR
1,14,AUTSAL
4,14,DENTRO
2,14,FUERA
11,14,REGISTROS
13,15,AUTENTR
20,15,AUTSAL
13,15,DENTRO
4,15,FUERA
12,15,REGISTROS
3,16,AUTENTR
5,16,AUTSAL
4,16,DENTRO
7,16,FUERA
3,16,REGISTROS
4,17,AUTENTR
6,17,AUTSAL
5,17,DENTRO
6,17,FUERA
5,17,REGISTROS
9,18,AUTENTR
1,18,AUTSAL
8,18,DENTRO
3,18,FUERA
3,18,REGISTROS
4,19,AUTENTR
8,19,AUTSAL
3,19,DENTRO
1,19,FUERA
5,19,REGISTROS
2,20,AUTENTR
1,20,AUTSAL
3,20,DENTRO
3,20,REGISTROS
2,21,AUTENTR
1,21,AUTSAL
3,21,DENTRO
3,21,REGISTROS
9,22,AUTENTR
4,22,DENTRO
8,22,REGISTROS
2,23,AUTENTR
2,23,DENTRO
6,23,REGISTROS
