NUM_REGISTROS,MINS_WAITING
198,1
151,2
141,3
87,4
126,5
82,6
70,7
74,8
54,9
52,10
48,11
59,12
47,13
45,14
39,15
40,16
35,17
21,18
28,19
36,20
19,21
33,22
26,23
23,24
23,25
19,26
27,27
17,28
28,29
16,30
17,31
13,32
22,33
10,34
14,35
8,36
13,37
14,38
11,39
11,40
12,41
8,42
10,43
5,44
14,45
11,46
11,47
11,48
5,49
7,50
12,51
11,52
11,53
7,54
8,55
5,56
8,57
5,58
3,59
5,60
5,61
6,62
8,63
4,64
6,65
6,66
6,67
6,68
6,69
6,70
4,71
7,72
6,73
2,74
2,75
5,76
8,77
6,78
7,79
6,80
7,81
10,82
4,83
5,84
3,85
4,86
5,87
3,88
3,89
5,90
4,91
2,92
1,93
3,95
3,96
1,97
2,98
2,99
3,100
3,102
2,103
7,104
2,105
1,106
3,107
5,108
2,109
1,110
4,111
3,112
1,113
3,114
1,115
2,116
4,117
3,118
1,119
2,120
2,121
3,122
4,123
3,124
1,125
2,126
1,127
5,129
2,130
2,131
2,132
1,133
1,134
1,135
1,136
3,137
1,138
2,139
7,140
2,141
1,142
5,143
1,144
5,148
3,149
7,150
3,151
1,152
3,153
2,154
4,155
2,156
1,157
2,161
1,162
1,163
2,164
5,165
2,166
1,167
1,168
3,170
1,171
1,172
2,173
2,175
2,176
2,177
1,178
2,181
1,182
1,184
2,186
2,187
1,188
1,189
1,190
3,191
1,192
1,193
1,194
1,195
2,196
3,197
1,198
2,199
2,201
2,203
2,204
2,207
2,208
1,211
2,212
2,213
1,214
1,215
1,216
2,217
3,218
1,220
1,221
1,225
1,226
2,232
1,233
1,235
1,236
1,237
1,238
1,240
1,241
1,243
1,244
1,245
1,251
2,252
1,254
2,256
1,258
1,259
1,266
3,267
1,270
2,272
1,273
1,276
1,285
1,288
1,289
1,291
3,292
1,294
1,295
1,297
1,299
1,300
1,301
1,302
1,303
1,304
1,305
3,307
2,308
1,309
2,310
2,312
1,313
1,316
1,317
1,320
1,321
1,324
2,325
1,328
1,333
1,338
3,339
2,341
1,343
1,344
1,347
1,348
3,350
1,353
1,354
1,355
1,357
1,358
1,359
1,360
2,362
1,364
1,366
1,367
1,368
1,373
1,375
2,376
3,377
1,379
2,380
2,381
1,382
1,383
1,385
1,386
1,388
1,391
1,392
1,397
1,398
2,401
3,402
3,403
3,404
1,405
5,406
4,408
2,409
1,411
2,412
4,413
1,414
2,415
2,417
1,419
2,422
1,426
1,427
1,431
1,432
1,433
1,434
1,437
1,443
1,448
1,450
1,451
1,457
1,458
1,466
1,468
1,469
1,476
1,480
1,482
1,484
1,487
1,489
1,507
1,509
1,547
1,551
1,554
1,608
1,646
1,648
1,662
1,709
1,814
1,824
2,831
1,862
1,866
1,878
1,923
1,1003
1,1254
1,5869
1,5870
1,6297
