IDREGISTRO,MINS_WAIT,ACTIVIDAD
2802,16,Congelado
2805,0,Fruta
2827,9,Fruta
2845,0,Refrigerado
2849,0,Refrigerado
2868,2,Fruta
2886,8,Fruta
2942,0,Fruta
2943,0,Congelado
2947,0,Fruta
2956,0,Fruta
2967,0,Refrigerado
2808,0,Refrigerado
2809,13,Refrigerado
2815,4,Fruta
2820,40,Congelado
2836,13,Fruta
2844,53,Fruta
2846,57,Congelado
2855,19,Congelado
2858,15,Fruta
2863,105,Congelado
2867,27,Fruta
2878,6,Refrigerado
2952,0,Fruta
2953,0,Refrigerado
2960,0,Fruta
2979,0,Fruta
2803,3,Refrigerado
2811,2,Fruta
2813,1,Fruta
2814,52,Congelado
2819,5,Congelado
2829,41,Congelado
2831,23,Fruta
2837,41,Congelado
2847,0,Congelado
2850,3,Fruta
2851,31,Fruta
2895,0,Congelado
2901,10,Refrigerado
2955,0,Congelado
2812,5,Refrigerado
2817,22,Fruta
2840,8,Fruta
2842,0,Fruta
2857,103,Congelado
2862,131,Congelado
2866,99,Refrigerado
2957,0,Refrigerado
2959,0,Refrigerado
2970,0,Refrigerado
2978,15,Fruta
2980,0,Congelado
2999,0,Refrigerado
3000,0,Refrigerado
2801,0,Refrigerado
2824,7,Fruta
2825,4,Fruta
2830,1,Fruta
2835,13,Fruta
2839,98,Congelado
2852,0,Refrigerado
2853,0,Refrigerado
2860,104,Congelado
2861,123,Congelado
2864,1,Refrigerado
2865,32,Congelado
2875,16,Congelado
2883,37,Refrigerado
2804,8,Refrigerado
2807,0,Refrigerado
2818,0,Refrigerado
2826,1,Fruta
2854,26,Fruta
2877,5,Fruta
2884,0,Fruta
2890,0,Refrigerado
2892,0,Refrigerado
2894,0,Refrigerado
2899,0,Refrigerado
2945,13,Refrigerado
2806,12,Congelado
2816,11,Congelado
2828,0,Refrigerado
2834,5,Fruta
2843,39,Congelado
2848,74,Congelado
2859,60,Fruta
2869,48,Refrigerado
2872,5,Fruta
2874,15,Fruta
2881,7,Fruta
2882,78,Refrigerado
2893,0,Congelado
2810,11,Refrigerado
2822,16,Fruta
2833,20,Fruta
2838,24,Congelado
2856,0,Refrigerado
2880,57,Refrigerado
2896,0,Refrigerado
2944,0,Fruta
2946,0,Refrigerado
2950,0,Refrigerado
2961,0,Fruta
2962,0,Refrigerado
2963,0,Fruta
2964,0,Fruta
2965,0,Fruta
3010,0,Refrigerado
3029,0,Refrigerado
3034,33,Congelado
3042,11,Congelado
3064,4,Fruta
3092,0,Fruta
3094,0,Refrigerado
3097,6,Refrigerado
3122,0,Refrigerado
3130,15,Congelado
3154,0,Refrigerado
3191,0,Refrigerado
3193,0,Refrigerado
3198,8,Refrigerado
3201,0,Refrigerado
3202,0,Congelado
3205,0,Refrigerado
3207,0,Refrigerado
3208,0,Refrigerado
3210,0,Congelado
3211,0,Refrigerado
3212,0,Refrigerado
3212,0,Refrigerado
3213,0,Congelado
3217,0,Refrigerado
3220,9,Refrigerado
3221,0,Refrigerado
3225,4,Congelado
3226,0,Refrigerado
3227,0,Refrigerado
3228,3,Refrigerado
3230,3,Refrigerado
3035,79,Congelado
3038,23,Fruta
3045,139,Refrigerado
3059,8,Refrigerado
3060,1,Fruta
3077,5,Fruta
3088,2,Congelado
3099,0,Refrigerado
3114,3,Refrigerado
3117,0,Refrigerado
3124,0,Refrigerado
3135,0,Refrigerado
3173,0,Refrigerado
3188,1,Refrigerado
3219,0,Refrigerado
3229,155,Refrigerado
3231,0,Refrigerado
3232,0,Refrigerado
3233,7,Refrigerado
3234,7,Refrigerado
3235,0,Refrigerado
3236,0,Refrigerado
3237,143,Refrigerado
3238,218,Congelado
3239,129,Refrigerado
3240,4,Refrigerado
3241,12,Refrigerado
3242,5,Refrigerado
3243,63,Refrigerado
3244,0,Refrigerado
3245,0,Refrigerado
3024,12,Refrigerado
3027,26,Fruta
3030,39,Congelado
3031,32,Fruta
3055,7,Refrigerado
3061,22,Refrigerado
3065,0,Refrigerado
3066,6,Refrigerado
3069,18,Refrigerado
3072,20,Congelado
3074,3,Refrigerado
3079,9,Fruta
3085,12,Congelado
3103,4,Refrigerado
3108,14,Refrigerado
3111,0,Refrigerado
3113,1,Refrigerado
3118,0,Refrigerado
3132,0,Refrigerado
3139,232,Refrigerado
3158,0,Refrigerado
3164,0,Congelado
3165,0,Refrigerado
3177,0,Refrigerado
3180,44,Fruta
3183,0,Refrigerado
3186,25,Congelado
3204,0,Congelado
3209,0,Refrigerado
3006,0,Refrigerado
3007,0,Refrigerado
3011,0,Refrigerado
3021,12,Refrigerado
3025,5,Refrigerado
3026,5,Refrigerado
3040,43,Refrigerado
3046,20,Fruta
3050,64,Congelado
3068,33,Fruta
3071,18,Congelado
3075,9,Refrigerado
3076,8,Refrigerado
3084,116,Congelado
3086,2,Fruta
3104,0,Refrigerado
3109,3,Refrigerado
3112,0,Refrigerado
3147,140,Refrigerado
3149,0,Refrigerado
3152,0,Refrigerado
3156,0,Refrigerado
3161,0,Refrigerado
3162,0,Refrigerado
3163,0,Refrigerado
3167,0,Refrigerado
3189,0,Refrigerado
3196,0,Congelado
3197,72,Refrigerado
3022,17,Fruta
3028,0,Refrigerado
3039,41,Refrigerado
3044,23,Fruta
3052,5,Fruta
3057,68,Congelado
3063,0,Fruta
3090,1,Refrigerado
3091,43,Refrigerado
3100,0,Refrigerado
3138,118,Refrigerado
3148,0,Refrigerado
3151,0,Refrigerado
3155,157,Congelado
3172,0,Refrigerado
3174,9,Refrigerado
3178,0,Congelado
3181,0,Refrigerado
3185,0,Refrigerado
3187,0,Refrigerado
3192,0,Refrigerado
3199,0,Congelado
3200,0,Refrigerado
3203,13,Refrigerado
3206,33,Congelado
3214,0,Refrigerado
3215,0,Congelado
3216,0,Refrigerado
3218,0,Refrigerado
3222,0,Congelado
3223,55,Refrigerado
3224,0,Refrigerado
3001,0,Refrigerado
3002,0,Refrigerado
3003,0,Refrigerado
3004,0,Refrigerado
3005,0,Refrigerado
3009,0,Refrigerado
3023,14,Refrigerado
3033,48,Fruta
3036,27,Fruta
3041,29,Refrigerado
3043,52,Congelado
3047,43,Congelado
3048,18,Refrigerado
3051,77,Congelado
3054,7,Fruta
3056,9,Refrigerado
3058,5,Fruta
3062,55,Congelado
3081,0,Fruta
3082,66,Congelado
3083,9,Congelado
3093,0,Congelado
3095,0,Refrigerado
3096,5,Refrigerado
3098,0,Refrigerado
3101,18,Refrigerado
3102,2,Refrigerado
3105,141,Refrigerado
3106,140,Refrigerado
3107,124,Refrigerado
3123,0,Refrigerado
3126,0,Refrigerado
3008,0,Refrigerado
3032,44,Refrigerado
3049,66,Congelado
3053,8,Refrigerado
3067,13,Refrigerado
3070,5,Congelado
3073,33,Congelado
3078,29,Congelado
3110,0,Refrigerado
3141,0,Refrigerado
3150,0,Refrigerado
3153,0,Refrigerado
3157,0,Refrigerado
3159,0,Refrigerado
3160,0,Refrigerado
3166,0,Congelado
