SEM_DIA_HORA,NUM,STATUS
256 / LUN / 00,3,2.-AE
256 / LUN / 00,6,1.-RG
256 / LUN / 01,13,2.-AE
256 / LUN / 01,15,1.-RG
256 / LUN / 02,20,2.-AE
256 / LUN / 02,24,1.-RG
256 / LUN / 03,27,1.-RG
256 / LUN / 03,28,2.-AE
256 / LUN / 04,40,1.-RG
256 / LUN / 04,44,2.-AE
256 / LUN / 05,23,2.-AE
256 / LUN / 05,28,1.-RG
256 / LUN / 06,15,1.-RG
256 / LUN / 06,17,2.-AE
256 / LUN / 07,11,1.-RG
256 / LUN / 07,14,2.-AE
256 / LUN / 08,16,2.-AE
256 / LUN / 08,19,1.-RG
256 / LUN / 09,9,1.-RG
256 / LUN / 09,12,2.-AE
256 / LUN / 10,12,1.-RG
256 / LUN / 10,15,2.-AE
256 / LUN / 11,5,1.-RG
256 / LUN / 11,6,2.-AE
256 / LUN / 12,3,1.-RG
256 / LUN / 12,3,2.-AE
256 / LUN / 13,1,2.-AE
256 / LUN / 13,2,1.-RG
256 / LUN / 14,2,1.-RG
256 / LUN / 14,2,2.-AE
256 / LUN / 15,7,1.-RG
256 / LUN / 15,7,2.-AE
256 / LUN / 16,4,1.-RG
256 / LUN / 16,4,2.-AE
256 / LUN / 17,5,1.-RG
256 / LUN / 17,5,2.-AE
256 / LUN / 18,3,1.-RG
256 / LUN / 18,6,2.-AE
256 / LUN / 19,7,1.-RG
256 / LUN / 19,7,2.-AE
256 / LUN / 20,3,1.-RG
256 / LUN / 20,3,2.-AE
256 / LUN / 21,1,1.-RG
256 / LUN / 21,1,2.-AE
256 / LUN / 22,8,2.-AE
256 / LUN / 22,9,1.-RG
256 / LUN / 23,3,2.-AE
256 / LUN / 23,6,1.-RG
257 / MAR / 00,5,2.-AE
257 / MAR / 00,6,1.-RG
257 / MAR / 01,10,2.-AE
257 / MAR / 01,11,1.-RG
257 / MAR / 02,20,2.-AE
257 / MAR / 02,22,1.-RG
257 / MAR / 03,23,2.-AE
257 / MAR / 03,26,1.-RG
257 / MAR / 04,28,1.-RG
257 / MAR / 04,33,2.-AE
257 / MAR / 05,22,1.-RG
257 / MAR / 05,24,2.-AE
257 / MAR / 06,13,1.-RG
257 / MAR / 06,14,2.-AE
257 / MAR / 07,12,2.-AE
257 / MAR / 07,13,1.-RG
257 / MAR / 08,19,1.-RG
257 / MAR / 08,19,2.-AE
257 / MAR / 09,7,1.-RG
257 / MAR / 09,9,2.-AE
257 / MAR / 10,9,2.-AE
257 / MAR / 10,10,1.-RG
257 / MAR / 11,2,1.-RG
257 / MAR / 11,4,2.-AE
257 / MAR / 12,3,2.-AE
257 / MAR / 12,4,1.-RG
257 / MAR / 13,3,1.-RG
257 / MAR / 13,4,2.-AE
257 / MAR / 14,1,2.-AE
257 / MAR / 14,2,1.-RG
257 / MAR / 15,10,2.-AE
257 / MAR / 15,11,1.-RG
257 / MAR / 16,2,2.-AE
257 / MAR / 16,3,1.-RG
257 / MAR / 17,3,2.-AE
257 / MAR / 17,3,3.-DN
257 / MAR / 17,7,1.-RG
257 / MAR / 18,1,3.-DN
257 / MAR / 18,8,2.-AE
257 / MAR / 19,4,1.-RG
257 / MAR / 19,4,2.-AE
257 / MAR / 20,1,1.-RG
257 / MAR / 20,1,2.-AE
257 / MAR / 21,4,2.-AE
257 / MAR / 21,5,1.-RG
257 / MAR / 22,7,2.-AE
257 / MAR / 22,9,1.-RG
257 / MAR / 23,1,3.-DN
257 / MAR / 23,5,2.-AE
257 / MAR / 23,8,1.-RG
258 / MIÉ / 00,1,2.-AE
258 / MIÉ / 00,9,1.-RG
258 / MIÉ / 01,1,3.-DN
258 / MIÉ / 01,2,2.-AE
258 / MIÉ / 01,3,1.-RG
258 / MIÉ / 02,17,1.-RG
258 / MIÉ / 02,25,2.-AE
258 / MIÉ / 03,25,1.-RG
258 / MIÉ / 03,27,2.-AE
258 / MIÉ / 04,34,1.-RG
258 / MIÉ / 04,34,2.-AE
258 / MIÉ / 05,2,3.-DN
258 / MIÉ / 05,28,1.-RG
258 / MIÉ / 05,28,2.-AE
258 / MIÉ / 06,4,3.-DN
258 / MIÉ / 06,16,1.-RG
258 / MIÉ / 06,17,2.-AE
258 / MIÉ / 07,6,3.-DN
258 / MIÉ / 07,15,1.-RG
258 / MIÉ / 07,17,2.-AE
258 / MIÉ / 08,5,3.-DN
258 / MIÉ / 08,13,1.-RG
258 / MIÉ / 08,13,2.-AE
258 / MIÉ / 09,3,3.-DN
258 / MIÉ / 09,10,1.-RG
258 / MIÉ / 09,11,2.-AE
258 / MIÉ / 10,7,1.-RG
258 / MIÉ / 10,7,3.-DN
258 / MIÉ / 10,8,2.-AE
258 / MIÉ / 11,3,1.-RG
258 / MIÉ / 11,4,3.-DN
258 / MIÉ / 11,5,2.-AE
258 / MIÉ / 12,2,3.-DN
258 / MIÉ / 12,4,2.-AE
258 / MIÉ / 12,6,1.-RG
258 / MIÉ / 13,3,2.-AE
258 / MIÉ / 14,6,2.-AE
258 / MIÉ / 14,8,1.-RG
258 / MIÉ / 15,2,1.-RG
258 / MIÉ / 15,4,2.-AE
258 / MIÉ / 16,4,3.-DN
258 / MIÉ / 16,5,2.-AE
258 / MIÉ / 16,7,1.-RG
258 / MIÉ / 17,7,1.-RG
258 / MIÉ / 17,7,3.-DN
258 / MIÉ / 17,10,2.-AE
258 / MIÉ / 18,1,3.-DN
258 / MIÉ / 18,3,1.-RG
258 / MIÉ / 18,3,2.-AE
258 / MIÉ / 19,7,1.-RG
258 / MIÉ / 19,7,2.-AE
258 / MIÉ / 20,1,2.-AE
258 / MIÉ / 20,2,1.-RG
258 / MIÉ / 21,4,2.-AE
258 / MIÉ / 21,6,1.-RG
258 / MIÉ / 22,7,1.-RG
258 / MIÉ / 22,7,2.-AE
258 / MIÉ / 23,6,2.-AE
258 / MIÉ / 23,8,1.-RG
259 / JUE / 00,6,2.-AE
259 / JUE / 00,8,1.-RG
259 / JUE / 01,1,3.-DN
259 / JUE / 01,4,2.-AE
259 / JUE / 01,7,1.-RG
259 / JUE / 02,1,3.-DN
259 / JUE / 02,22,1.-RG
259 / JUE / 02,22,2.-AE
259 / JUE / 03,27,1.-RG
259 / JUE / 03,27,2.-AE
259 / JUE / 04,39,1.-RG
259 / JUE / 04,43,2.-AE
259 / JUE / 05,28,1.-RG
259 / JUE / 05,28,2.-AE
259 / JUE / 06,2,3.-DN
259 / JUE / 06,24,1.-RG
259 / JUE / 06,26,2.-AE
259 / JUE / 07,15,1.-RG
259 / JUE / 07,15,2.-AE
259 / JUE / 08,16,2.-AE
259 / JUE / 08,19,1.-RG
259 / JUE / 09,14,1.-RG
259 / JUE / 09,14,2.-AE
259 / JUE / 10,8,1.-RG
259 / JUE / 10,11,2.-AE
259 / JUE / 11,4,1.-RG
259 / JUE / 11,6,2.-AE
259 / JUE / 12,5,1.-RG
259 / JUE / 12,6,2.-AE
259 / JUE / 13,5,1.-RG
259 / JUE / 13,6,2.-AE
259 / JUE / 14,7,2.-AE
259 / JUE / 14,8,1.-RG
259 / JUE / 15,3,3.-DN
259 / JUE / 15,11,2.-AE
259 / JUE / 15,12,1.-RG
259 / JUE / 16,2,3.-DN
259 / JUE / 16,6,1.-RG
259 / JUE / 16,6,2.-AE
259 / JUE / 17,2,2.-AE
259 / JUE / 17,2,3.-DN
259 / JUE / 17,4,1.-RG
259 / JUE / 18,2,1.-RG
259 / JUE / 18,3,3.-DN
259 / JUE / 18,8,2.-AE
259 / JUE / 19,6,3.-DN
259 / JUE / 19,7,2.-AE
259 / JUE / 19,8,1.-RG
259 / JUE / 20,2,3.-DN
259 / JUE / 20,5,1.-RG
259 / JUE / 20,6,2.-AE
259 / JUE / 21,2,2.-AE
259 / JUE / 21,4,1.-RG
259 / JUE / 22,7,2.-AE
259 / JUE / 22,10,1.-RG
259 / JUE / 23,1,3.-DN
259 / JUE / 23,9,2.-AE
259 / JUE / 23,10,1.-RG
260 / VIE / 00,1,3.-DN
260 / VIE / 00,6,1.-RG
