SEM,NUM,STATUS
2016-22,42,3AE
2016-23,18,6FR
2016-23,56,5AS
2016-23,172,3AE
2016-23,174,1PR
2016-23,174,2RG
2016-23,176,4DN
2016-24,3,6FR
2016-24,5,5AS
2016-24,27,3AE
2016-24,34,2RG
2016-24,41,1PR
2016-24,44,4DN
2016-25,78,6FR
2016-25,224,5AS
2016-25,290,4DN
2016-25,295,2RG
2016-25,296,1PR
2016-25,297,3AE
2016-26,118,6FR
2016-26,242,4DN
2016-26,282,5AS
2016-26,458,1PR
2016-26,458,2RG
2016-26,466,3AE
2016-27,102,6FR
2016-27,262,5AS
2016-27,362,4DN
2016-27,477,3AE
2016-27,495,2RG
2016-27,549,1PR
2016-28,138,6FR
2016-28,231,5AS
2016-28,291,4DN
2016-28,404,3AE
2016-28,498,1PR
2016-28,500,2RG
2016-29,462,6FR
2016-29,1016,4DN
2016-29,1163,5AS
2016-29,1525,2RG
2016-29,1575,3AE
2016-29,2014,1PR
2016-30,84,6FR
2016-30,357,5AS
2016-30,604,4DN
2016-30,1415,3AE
2016-30,1558,2RG
2016-30,1637,1PR
2016-31,393,6FR
2016-31,973,5AS
2016-31,1007,4DN
2016-31,1532,2RG
2016-31,1552,3AE
2016-31,1701,1PR
2016-32,30,6FR
2016-32,447,5AS
2016-32,506,3AE
2016-32,511,4DN
2016-32,552,2RG
2016-32,899,1PR
