NUMITEMS,MMDDHH,TYPEITEMS
8,1806,AUTENTR
4,1806,DENTRO
11,1806,REGISTROS
10,1807,AUTENTR
21,1807,AUTSAL
5,1807,DENTRO
2,1807,FUERA
20,1807,REGISTROS
22,1808,AUTENTR
14,1808,AUTSAL
18,1808,DENTRO
16,1808,FUERA
16,1808,REGISTROS
18,1809,AUTENTR
6,1809,AUTSAL
8,1809,DENTRO
6,1809,FUERA
14,1809,REGISTROS
5,1810,AUTENTR
15,1810,AUTSAL
9,1810,DENTRO
3,1810,FUERA
5,1810,REGISTROS
3,1811,AUTENTR
17,1811,AUTSAL
4,1811,DENTRO
2,1811,FUERA
2,1811,REGISTROS
5,1812,AUTENTR
3,1812,AUTSAL
3,1812,DENTRO
4,1812,REGISTROS
3,1813,AUTENTR
1,1813,AUTSAL
3,1813,DENTRO
1,1813,FUERA
2,1813,REGISTROS
6,1814,AUTENTR
1,1814,AUTSAL
4,1814,DENTRO
2,1814,FUERA
7,1814,REGISTROS
4,1815,AUTENTR
7,1815,AUTSAL
2,1815,DENTRO
3,1815,FUERA
8,1815,REGISTROS
2,1816,AUTENTR
10,1816,AUTSAL
2,1816,DENTRO
5,1816,FUERA
8,1817,AUTENTR
9,1817,AUTSAL
7,1817,DENTRO
5,1817,REGISTROS
4,1818,AUTSAL
1,1818,DENTRO
3,1818,FUERA
2,1818,REGISTROS
7,1819,AUTENTR
7,1819,DENTRO
11,1819,REGISTROS
2,1820,AUTENTR
2,1820,AUTSAL
2,1820,DENTRO
1,1820,FUERA
2,1820,REGISTROS
3,1821,AUTENTR
1,1821,AUTSAL
3,1821,DENTRO
1,1821,FUERA
4,1821,REGISTROS
3,1822,AUTENTR
3,1822,DENTRO
1,1822,FUERA
3,1822,REGISTROS
5,1823,AUTENTR
6,1823,DENTRO
9,1823,REGISTROS
6,1900,AUTENTR
3,1900,DENTRO
8,1900,REGISTROS
10,1901,AUTENTR
9,1901,DENTRO
9,1901,REGISTROS
10,1902,AUTENTR
6,1902,DENTRO
13,1902,REGISTROS
19,1903,AUTENTR
11,1903,DENTRO
20,1903,REGISTROS
36,1904,AUTENTR
15,1904,DENTRO
32,1904,REGISTROS
26,1905,AUTENTR
3,1905,DENTRO
28,1905,REGISTROS
20,1906,AUTENTR
9,1906,DENTRO
25,1906,REGISTROS
24,1907,AUTENTR
43,1907,AUTSAL
21,1907,DENTRO
8,1907,FUERA
16,1907,REGISTROS
17,1908,AUTENTR
19,1908,AUTSAL
16,1908,DENTRO
11,1908,FUERA
17,1908,REGISTROS
10,1909,AUTENTR
137,1909,AUTSAL
13,1909,DENTRO
8,1909,FUERA
6,1909,REGISTROS
8,1910,AUTENTR
48,1910,AUTSAL
9,1910,DENTRO
11,1910,FUERA
9,1910,REGISTROS
7,1911,AUTENTR
10,1911,AUTSAL
5,1911,DENTRO
4,1911,FUERA
6,1911,REGISTROS
3,1912,AUTENTR
7,1912,AUTSAL
5,1912,DENTRO
8,1912,FUERA
2,1912,REGISTROS
5,1913,AUTENTR
11,1913,AUTSAL
6,1913,DENTRO
2,1913,FUERA
6,1913,REGISTROS
7,1914,AUTENTR
1,1914,AUTSAL
4,1914,DENTRO
2,1914,FUERA
11,1914,REGISTROS
13,1915,AUTENTR
20,1915,AUTSAL
13,1915,DENTRO
4,1915,FUERA
12,1915,REGISTROS
3,1916,AUTENTR
5,1916,AUTSAL
4,1916,DENTRO
7,1916,FUERA
3,1916,REGISTROS
4,1917,AUTENTR
6,1917,AUTSAL
5,1917,DENTRO
6,1917,FUERA
5,1917,REGISTROS
9,1918,AUTENTR
1,1918,AUTSAL
8,1918,DENTRO
3,1918,FUERA
3,1918,REGISTROS
4,1919,AUTENTR
8,1919,AUTSAL
3,1919,DENTRO
1,1919,FUERA
5,1919,REGISTROS
2,1920,AUTENTR
1,1920,AUTSAL
3,1920,DENTRO
3,1920,REGISTROS
2,1921,AUTENTR
1,1921,AUTSAL
3,1921,DENTRO
3,1921,REGISTROS
9,1922,AUTENTR
4,1922,DENTRO
8,1922,REGISTROS
2,1923,AUTENTR
2,1923,DENTRO
6,1923,REGISTROS
11,2000,AUTENTR
7,2000,DENTRO
11,2000,REGISTROS
9,2001,AUTENTR
10,2001,DENTRO
9,2001,REGISTROS
14,2002,AUTENTR
8,2002,DENTRO
15,2002,REGISTROS
29,2003,AUTENTR
5,2003,DENTRO
31,2003,REGISTROS
40,2004,AUTENTR
1,2004,DENTRO
35,2004,REGISTROS
27,2005,AUTENTR
1,2005,DENTRO
29,2005,REGISTROS
24,2006,AUTENTR
9,2006,AUTSAL
15,2006,DENTRO
15,2006,REGISTROS
16,2007,AUTENTR
47,2007,AUTSAL
31,2007,DENTRO
14,2007,FUERA
14,2007,REGISTROS
10,2008,AUTENTR
43,2008,AUTSAL
20,2008,DENTRO
4,2008,FUERA
11,2008,REGISTROS
11,2009,AUTENTR
17,2009,AUTSAL
15,2009,DENTRO
14,2009,FUERA
14,2009,REGISTROS
8,2010,AUTENTR
10,2010,AUTSAL
11,2010,DENTRO
6,2010,FUERA
11,2010,REGISTROS
8,2011,AUTENTR
11,2011,AUTSAL
8,2011,DENTRO
7,2011,FUERA
5,2011,REGISTROS
7,2012,AUTENTR
9,2012,AUTSAL
9,2012,DENTRO
6,2012,FUERA
4,2012,REGISTROS
4,2013,AUTENTR
6,2013,AUTSAL
4,2013,DENTRO
5,2013,FUERA
2,2013,REGISTROS
6,2014,AUTENTR
5,2014,AUTSAL
5,2014,DENTRO
5,2014,FUERA
6,2014,REGISTROS
8,2015,AUTENTR
6,2015,AUTSAL
7,2015,DENTRO
2,2015,FUERA
4,2015,REGISTROS
5,2016,AUTENTR
3,2016,AUTSAL
2,2016,DENTRO
9,2016,FUERA
4,2016,REGISTROS
6,2017,AUTENTR
8,2017,AUTSAL
8,2017,DENTRO
3,2017,FUERA
6,2017,REGISTROS
5,2018,AUTENTR
5,2018,AUTSAL
6,2018,DENTRO
3,2018,FUERA
6,2018,REGISTROS
8,2019,AUTENTR
1,2019,AUTSAL
4,2019,DENTRO
3,2019,FUERA
6,2019,REGISTROS
1,2020,AUTENTR
2,2020,DENTRO
2,2020,FUERA
1,2020,REGISTROS
4,2021,AUTENTR
3,2021,DENTRO
4,2021,REGISTROS
7,2022,AUTENTR
3,2022,DENTRO
8,2022,REGISTROS
2,2023,AUTENTR
1,2023,DENTRO
5,2023,REGISTROS
11,2100,AUTENTR
5,2100,DENTRO
11,2100,REGISTROS
9,2101,AUTENTR
6,2101,DENTRO
10,2101,REGISTROS
15,2102,AUTENTR
9,2102,DENTRO
16,2102,REGISTROS
25,2103,AUTENTR
7,2103,DENTRO
24,2103,REGISTROS
72,2104,AUTENTR
10,2104,DENTRO
42,2104,REGISTROS
24,2105,AUTENTR
4,2105,DENTRO
25,2105,REGISTROS
17,2106,AUTENTR
11,2106,AUTSAL
15,2106,DENTRO
24,2106,REGISTROS
26,2107,AUTENTR
31,2107,AUTSAL
21,2107,DENTRO
7,2107,FUERA
17,2107,REGISTROS
20,2108,AUTENTR
18,2108,AUTSAL
21,2108,DENTRO
10,2108,FUERA
13,2108,REGISTROS
8,2109,AUTENTR
32,2109,AUTSAL
12,2109,DENTRO
19,2109,FUERA
8,2109,REGISTROS
10,2110,AUTENTR
12,2110,AUTSAL
11,2110,DENTRO
8,2110,FUERA
10,2110,REGISTROS
9,2111,AUTENTR
27,2111,AUTSAL
10,2111,DENTRO
6,2111,FUERA
6,2111,REGISTROS
5,2112,AUTENTR
7,2112,AUTSAL
6,2112,DENTRO
7,2112,FUERA
3,2112,REGISTROS
2,2113,AUTENTR
2,2113,AUTSAL
2,2113,DENTRO
5,2113,FUERA
1,2113,REGISTROS
5,2114,AUTENTR
5,2114,AUTSAL
5,2114,DENTRO
1,2114,FUERA
8,2114,REGISTROS
8,2115,AUTENTR
5,2115,AUTSAL
6,2115,DENTRO
5,2115,FUERA
7,2115,REGISTROS
5,2116,AUTENTR
7,2116,AUTSAL
6,2116,DENTRO
7,2116,FUERA
6,2116,REGISTROS
2,2117,AUTENTR
2,2117,AUTSAL
2,2117,DENTRO
6,2117,FUERA
5,2117,REGISTROS
13,2118,AUTENTR
7,2118,AUTSAL
6,2118,DENTRO
2,2118,FUERA
7,2118,REGISTROS
3,2119,AUTENTR
2,2119,DENTRO
3,2119,FUERA
4,2119,REGISTROS
4,2120,AUTENTR
2,2120,DENTRO
1,2120,FUERA
4,2120,REGISTROS
3,2121,AUTENTR
5,2121,AUTSAL
3,2121,DENTRO
3,2121,REGISTROS
8,2122,AUTENTR
7,2122,AUTSAL
6,2122,DENTRO
7,2122,REGISTROS
5,2123,AUTENTR
3,2123,AUTSAL
4,2123,DENTRO
2,2123,FUERA
5,2123,REGISTROS
8,2200,AUTENTR
6,2200,AUTSAL
7,2200,DENTRO
17,2200,REGISTROS
7,2201,AUTENTR
1,2201,AUTSAL
3,2201,DENTRO
9,2201,REGISTROS
13,2202,AUTENTR
8,2202,AUTSAL
8,2202,DENTRO
15,2202,REGISTROS
28,2203,AUTENTR
2,2203,AUTSAL
10,2203,DENTRO
30,2203,REGISTROS
42,2204,AUTENTR
8,2204,DENTRO
41,2204,REGISTROS
29,2205,AUTENTR
8,2205,DENTRO
26,2205,REGISTROS
20,2206,AUTENTR
37,2206,AUTSAL
12,2206,DENTRO
3,2206,FUERA
19,2206,REGISTROS
22,2207,AUTENTR
14,2207,AUTSAL
24,2207,DENTRO
10,2207,FUERA
19,2207,REGISTROS
11,2208,AUTENTR
30,2208,AUTSAL
18,2208,DENTRO
17,2208,FUERA
10,2208,REGISTROS
14,2209,AUTENTR
12,2209,AUTSAL
12,2209,DENTRO
7,2209,FUERA
11,2209,REGISTROS
10,2210,AUTENTR
9,2210,AUTSAL
9,2210,DENTRO
8,2210,FUERA
5,2210,REGISTROS
7,2211,AUTENTR
7,2211,AUTSAL
7,2211,DENTRO
6,2211,FUERA
7,2211,REGISTROS
3,2212,AUTENTR
4,2212,AUTSAL
5,2212,DENTRO
5,2212,FUERA
4,2212,REGISTROS
4,2213,AUTENTR
4,2213,AUTSAL
4,2213,DENTRO
4,2213,FUERA
6,2213,REGISTROS
8,2214,AUTENTR
4,2214,AUTSAL
7,2214,DENTRO
3,2214,FUERA
7,2214,REGISTROS
7,2215,AUTENTR
11,2215,AUTSAL
8,2215,DENTRO
8,2215,FUERA
13,2215,REGISTROS
5,2216,AUTENTR
6,2216,AUTSAL
5,2216,DENTRO
6,2216,FUERA
4,2216,REGISTROS
4,2217,AUTENTR
5,2217,AUTSAL
4,2217,DENTRO
4,2217,FUERA
4,2217,REGISTROS
10,2218,AUTENTR
8,2218,AUTSAL
8,2218,DENTRO
4,2218,FUERA
4,2218,REGISTROS
2,2219,AUTENTR
3,2219,AUTSAL
2,2219,DENTRO
2,2219,FUERA
2,2219,REGISTROS
3,2220,AUTENTR
1,2220,AUTSAL
1,2220,DENTRO
2,2220,FUERA
2,2220,REGISTROS
4,2221,AUTENTR
4,2221,AUTSAL
4,2221,DENTRO
2,2221,FUERA
4,2221,REGISTROS
8,2222,AUTENTR
2,2222,AUTSAL
4,2222,DENTRO
1,2222,FUERA
8,2222,REGISTROS
8,2223,AUTENTR
8,2223,AUTSAL
6,2223,DENTRO
8,2223,REGISTROS
10,2300,AUTENTR
3,2300,AUTSAL
4,2300,DENTRO
1,2300,FUERA
15,2300,REGISTROS
10,2301,AUTENTR
1,2301,AUTSAL
5,2301,DENTRO
11,2301,REGISTROS
9,2302,AUTENTR
7,2302,AUTSAL
5,2302,DENTRO
1,2302,FUERA
8,2302,REGISTROS
20,2303,AUTENTR
7,2303,AUTSAL
11,2303,DENTRO
2,2303,FUERA
23,2303,REGISTROS
45,2304,AUTENTR
6,2304,DENTRO
46,2304,REGISTROS
20,2305,AUTENTR
4,2305,DENTRO
20,2305,REGISTROS
22,2306,AUTENTR
27,2306,AUTSAL
11,2306,DENTRO
2,2306,FUERA
13,2306,REGISTROS
11,2307,AUTENTR
9,2307,AUTSAL
11,2307,DENTRO
7,2307,FUERA
14,2307,REGISTROS
16,2308,AUTENTR
16,2308,AUTSAL
14,2308,DENTRO
9,2308,FUERA
11,2308,REGISTROS
5,2309,AUTENTR
6,2309,AUTSAL
6,2309,DENTRO
4,2309,FUERA
6,2309,REGISTROS
5,2310,AUTENTR
4,2310,AUTSAL
6,2310,DENTRO
5,2310,FUERA
3,2310,REGISTROS
3,2311,AUTENTR
7,2311,AUTSAL
5,2311,DENTRO
5,2311,FUERA
3,2311,REGISTROS
1,2312,AUTENTR
2,2312,DENTRO
5,2312,FUERA
1,2312,REGISTROS
3,2313,AUTENTR
4,2313,AUTSAL
2,2313,DENTRO
3,2313,REGISTROS
4,2314,AUTENTR
4,2314,AUTSAL
4,2314,DENTRO
1,2314,FUERA
4,2314,REGISTROS
4,2315,AUTENTR
7,2315,AUTSAL
8,2315,DENTRO
4,2315,FUERA
4,2315,REGISTROS
1,2316,AUTSAL
1,2316,DENTRO
5,2316,FUERA
1,2317,AUTENTR
3,2317,AUTSAL
3,2317,DENTRO
1,2317,FUERA
1,2317,REGISTROS
1,2400,AUTENTR
1,2400,AUTSAL
1,2400,DENTRO
1,2400,REGISTROS
1,2402,AUTENTR
1,2402,DENTRO
1,2402,REGISTROS
7,2403,AUTENTR
6,2403,AUTSAL
6,2403,DENTRO
8,2403,REGISTROS
5,2404,AUTENTR
5,2404,AUTSAL
4,2404,DENTRO
1,2404,FUERA
5,2404,REGISTROS
1,2405,AUTENTR
2,2405,AUTSAL
2,2405,DENTRO
1,2405,FUERA
1,2405,REGISTROS
1,2409,AUTENTR
1,2409,REGISTROS
1,2410,AUTSAL
2,2410,DENTRO
1,2411,AUTENTR
1,2411,AUTSAL
1,2411,DENTRO
1,2411,REGISTROS
1,2418,REGISTROS
5,2420,AUTENTR
4,2420,AUTSAL
4,2420,DENTRO
4,2420,FUERA
3,2420,REGISTROS
2,2421,REGISTROS
8,2422,AUTENTR
1,2422,AUTSAL
5,2422,DENTRO
6,2422,REGISTROS
1,2423,AUTENTR
1,2423,REGISTROS
