test;valor
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;5
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
pre;4
