Gender;Country;Country_other;Age;Family;Kids;SchoolLevel;work;LE1[SQ001];LE1[SQ002];LE1[SQ003];LE1[SQ004];LE2;LE3;LE4;LE5;LE6;B1;B2[SQ001];B2[SQ002];B2[SQ003];B2[SQ004];B2[SQ005];B2[SQ006];B3[SQ001];B3[SQ002];B3[SQ003];B3[SQ004];B3[SQ005];B4[SQ001];B4[SQ002];B4[SQ003];B4[SQ004];B4[SQ005];B4[SQ006];B4[SQ007];B4[SQ008];B5;B6;FU0
Femenino;España;;1994;vivo solo;0;Universitario;estudiante;6;Completamente;6;6;Durante el curso;Si;50;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Muy importante;Sin importancia;Sin importancia;Sin importancia;Importancia moderada;Importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Importancia moderada;Muy importante;Muy importante;Importancia moderada;De poca importancia;Muy importante;De poca importancia;De poca importancia;Sí;Freeplastic Party;Hola, soy estudiante de Ciencias Ambientales-Química y veo totalmente necesarios este tipo de cursos ya que se aprende a trabajar en equipo, y en concreto, en este curso hemos aprendido las bases de la basura marina aspectos clave de un problema que nos afecta a todos. Muchas gracias por la iniciativa, un saludo.
Femenino;España;;1975;vivo en pareja;1;Doctorado;asalariado;5;5;5;5;Durante el curso;Si;10;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Importante;Importante;Importante;Muy importante;Importante;Importante;Importante;Importante;Sí;Intentar concienciar a mis conocidos de la problemática ;
Femenino;España;;1987;vivo con mis padres;0;Master;desempleado y en búsqueda de empleo;6;Completamente;Completamente;Completamente;Al comenzar el curso.;No tuve suficiente tiempo;22;Participado en todas las actividades de algunos módulos, he navegado y descargado los materiales;7;Totalmente de acuerdo;Muy importante;Importante;Muy importante;Importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;Mantener las costas limpias, siempre que encuentro basura la quito y no me gusta desordenar el ambiente natural;
Masculino;España;;1989;vivo con mis padres;1;Estudios medios;estudiante;5;5;5;5;Antes de comenzar el curso;No tuve suficiente tiempo;34;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;3;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Importancia moderada;Importante;Importante;Neutral;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Importante;Importante;Importancia moderada;Importante;Importancia moderada;Importante;Importante;Sí;Mi acción esta en la montaña y las calles,que es mas accesible para mi. En el mar es mas complicado, pero desde dentro reciclar lo máximo posible e intentar economizar a la vez que no creo basura. Así que yo seguiré activo en limpiar, en mis posibilidades y el próximo me certifico. ;
Masculino;Chile;;1981;vivo en pareja;0;Master;asalariado;5;5;3;3;Durante el curso;Si;12;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;De acuerdo;Importancia moderada;Importante;Muy importante;Importante;Muy importante;Importante;Totalmente de acuerdo;Neutral;De acuerdo;De acuerdo;De acuerdo;Muy importante;Importante;Importante;De poca importancia;Importancia moderada;Importancia moderada;Importante;Importante;Sí;Participar de limpiezas de playa;
Femenino;Colombia;;1992;vivo con mis padres;0;Universitario;asalariado;Completamente;Completamente;Completamente;Completamente;Durante el curso;Si;150;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado y descargado los materiales;;Neutral;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;No;Hasta el momento son planes ;Es una excelente curso, los videos y ayudas multimedia son espectaculares 
Femenino;Perú;;1997;vivo con mis padres;1;Estudios superiores;estudiante;2;3;3;3;Antes de comenzar el curso;Si;12;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;4;De acuerdo;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Muy importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;"Voluntariados de limpieza de playas en algunos recolectando la data de que empresas se hallaban ejemplo botellas de coca cola etc hemos cuabtiffixado que hania mas y es de acuerdo al contexto en playas menis concutrentes no abunda colillas de cigarro sino cosas de alimentos y aseo etc ;concientizacion con el ministerio del ambiente de Perú .";Porque no hay MOOC en Perú? 
Femenino;México;;1991;vivo con mis padres;0;Universitario;estudiante;6;Completamente;Completamente;6;Al comenzar el curso.;No tuve suficiente tiempo;45;Participado en la mayoría de las actividades de algunos módulos, he navegado y descargado los materiales;7;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Importante;Muy importante;Importante;Importante;Importante;Muy importante;Muy importante;Sí;Mi proyecto de tesis de maestría Titulado: Cuencas y Sistemas Arrecifales del Golfo de México, Contaminación por Hidrocarburos y Biorremediación, ;
Femenino;Panamá;;1994;vivo con compañeros de piso;0;Master;estudiante;5;5;6;5;Al comenzar el curso.;No tuve suficiente tiempo;6;Participado en la mayoría de las actividades de algunos módulos, he navegado y descargado los materiales;4;De acuerdo;Importancia moderada;Importancia moderada;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;No;concientizar a mis allegados sobre problemas reales y actuales;Mi hubiera gustado ver mas legislaciones internacionales, como el derecho ayuda a proteger o como no esta ayudando. Creo que nos daria una herramienta fuerte para exigir o no. 
Femenino;Otro;Brasil;1981;vivo solo;0;Universitario;autónomo;6;Completamente;Completamente;Completamente;Al comenzar el curso.;Si, pero decidí invertir menos tiempo;260;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Totalmente de acuerdo;Muy importante;Muy importante;Importante;Importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Importante;Importante;Sí;Estudando a ecologia do local em que vivo e analisando a concentração de lixo marinho depositado;Nada a comentar, gostei de tudo, foi muito importante pra mim
Masculino;Otro;Brasil;1967;vivo en pareja;1;Diplomado;asalariado;Completamente;Completamente;Completamente;Completamente;Durante el curso;Si;20;Navegado y descargado los materiales educativos;;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;Grupo de mutirão de limpieza de la orilla marina.;
