test;valor_media;valorainteligencia;valoraentusiasmo;valorainiciativas;valoradifusion;valoraconectar
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;4,40;5;2;5;5;5
pre;4,40;4;5;4;4;5
pre;4,80;5;5;5;5;4
pre;4,40;5;4;4;5;4
pre;5,00;5;5;5;5;5
pre;4,80;5;5;5;5;4
pre;4,60;3;5;5;5;5
pre;4,80;5;5;5;4;5
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;4,80;5;5;5;5;4
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;5,00;5;5;5;5;5
pre;4,60;5;5;4;4;5
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;4,80;4;5;5;5;5
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;4,40;4;4;5;4;5
pre;4,60;5;4;5;5;4
pre;1,00;1;1;1;1;1
pre;4,40;4;4;4;5;5
pre;4,20;4;4;4;5;4
pre;4,40;5;5;4;3;5
pre;5,00;5;5;5;5;5
pre;1,00;1;1;1;1;1
pre;1,80;1;2;2;2;2
pre;5,00;5;5;5;5;5
pre;4,40;5;4;4;5;4
pre;4,00;4;4;4;4;4
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;4,80;5;5;4;5;5
pre;4,00;4;4;4;4;4
pre;4,80;5;4;5;5;5
pre;5,00;5;5;5;5;5
pre;3,80;4;3;4;5;3
pre;1,00;1;1;1;1;1
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;4,20;4;4;4;5;4
pre;3,60;4;2;4;4;4
pre;4,20;5;4;4;4;4
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;3,20;3;3;4;3;3
pre;5,00;5;5;5;5;5
pre;4,40;3;5;4;5;5
pre;4,00;4;4;4;4;4
pre;5,00;5;5;5;5;5
pre;4,60;4;5;5;4;5
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;4,60;4;5;4;5;5
pre;4,40;5;5;2;5;5
pre;5,00;5;5;5;5;5
pre;1,00;1;1;1;1;1
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;4,80;4;5;5;5;5
pre;1,00;1;1;1;1;1
pre;5,00;5;5;5;5;5
pre;4,40;3;4;5;5;5
pre;4,00;4;4;4;4;4
pre;4,80;5;4;5;5;5
pre;5,00;5;5;5;5;5
