id;age;gender;country
1;21;f;CN
2;31;m;CL
3;NA;NA;MX
4;25;m;MX
5;25;f;PE
6;21;f;MX
7;21;f;MX
8;21;f;MX
9;20;f;MX
10;21;f;MX
11;21;f;MX
12;20;f;MX
13;20;f;MX
14;20;f;MX
15;21;m;MX
16;21;m;MX
17;20;f;MX
18;21;f;MX
19;26;m;MX
20;20;m;MX
21;20;NA;MX
22;21;f;MX
23;22;f;MX
24;NA;NA;MX
25;19;f;MX
26;20;m;MX
27;20;f;MX
28;20;f;0
29;20;f;MX
30;46;m;0
31;25;f;CL
32;22;f;PE
33;26;f;PE
34;24;m;PE
35;24;f;PE
36;22;f;MX
37;NA;NA;PE
38;19;f;PE
39;28;f;AR
40;29;f;EC
41;22;f;ES
42;52;f;PT
43;37;m;PT
44;30;f;HN
45;28;f;MX
46;27;m;ID
47;38;f;CL
48;29;f;BR
49;25;m;BR
50;29;f;PE
51;21;f;PE
52;26;f;MX
53;25;f;AR
54;NA;NA;PA
55;41;f;CO
56;26;f;MX
57;NA;f;MX
58;19;f;MX
59;26;f;AR
60;59;m;ES
61;27;m;EC
62;25;f;0
63;23;f;PE
64;35;f;MX
65;22;f;MX
66;35;f;MX
67;35;f;MX
68;24;m;MX
69;26;f;PE
70;31;f;CO
71;26;f;PT
72;28;f;PT
73;60;m;BR
74;21;f;VE
75;51;f;PT
76;24;f;MX
77;42;f;ES
78;35;f;PE
79;22;f;PT
80;22;o;PE
81;23;m;PE
82;52;m;BR
83;NA;NA;PE
84;49;m;BR
85;24;m;MX
86;20;m;PE
87;34;m;MX
88;29;m;CO
89;NA;m;ES
90;30;m;MX
91;23;f;MX
92;30;f;ES
93;21;f;MX
94;36;f;MX
95;30;f;PT
96;26;f;GT
97;27;f;PE
98;31;f;CO
99;30;f;ES
100;NA;f;JP
101;NA;NA;AR
102;32;m;BR
103;24;f;SV
104;27;m;CR
105;29;f;CR
106;44;m;CR
107;29;f;MX
108;35;m;CR
109;57;m;AR
110;28;f;MX
111;28;f;BE
112;22;f;BR
113;25;f;ES
114;24;f;ES
115;45;m;BR
116;47;m;ES
117;52;m;ES
118;40;f;ES
119;53;m;MX
120;48;f;VE
121;34;m;EC
122;34;m;EC
123;NA;NA;AR
124;25;f;AR
125;34;f;US
126;32;f;MX
127;34;f;PE
128;22;f;PE
129;42;f;MX
130;51;f;PE
131;33;m;ES
132;26;f;CL
133;32;f;ES
134;NA;NA;ES
135;42;m;0
136;24;f;PR
137;38;m;GH
138;24;m;PE
139;37;m;0
140;25;m;MX
141;56;m;PE
142;NA;NA;ES
143;53;f;ES
144;39;m;ES
145;26;m;ES
146;52;m;BR
147;57;m;AR
148;33;f;ES
149;55;f;0
150;57;m;AR
151;36;f;MX
152;24;f;ES
153;NA;f;BR
154;NA;NA;EC
155;20;f;ES
156;26;f;PE
157;23;f;MX
158;29;f;CO
159;24;f;CO
160;24;f;CO
161;NA;f;MX
162;48;f;MX
163;28;f;BO
164;26;f;CO
165;26;f;HN
166;52;f;CL
167;22;m;CO
168;NA;NA;PR
169;45;m;PE
170;25;m;MX
171;48;m;MX
172;25;f;CO
173;23;f;CO
174;30;m;EC
175;35;f;MX
176;23;f;MX
177;64;f;BR
178;26;f;BR
179;27;m;GT
180;48;f;MX
181;38;m;SV
182;19;m;DE
183;NA;m;BR
184;24;o;MX
185;26;f;CO
186;46;m;BR
187;18;m;BR
188;46;m;BR
189;20;m;PE
190;25;m;MX
191;34;m;NZ
192;NA;m;0
193;63;m;BR
194;46;m;VE
195;61;m;MX
196;53;m;MX
197;NA;NA;AR
198;29;m;BR
199;49;f;ES
200;49;m;ES
201;NA;NA;BR
202;NA;NA;CA
203;29;f;BR
204;22;f;BR
205;37;f;ES
206;NA;f;0
207;34;f;BR
208;NA;m;0
209;25;f;MX
210;30;f;BR
211;39;f;BR
212;26;f;BR
213;29;f;CR
214;27;m;MX
215;45;m;GB
216;24;f;0
217;37;f;CR
218;54;m;BR
219;33;m;RO
220;22;f;MX
221;32;f;MX
222;24;f;MX
223;21;f;BR
224;60;m;BR
225;21;f;MX
226;21;f;MX
227;NA;NA;CO
228;28;m;PE
229;NA;NA;ES
230;NA;m;BR
231;NA;m;ES
232;31;f;FR
233;39;f;CA
234;32;f;BR
235;NA;f;BR
236;18;f;BR
237;30;f;CL
238;27;f;BR
239;27;f;BR
240;32;f;BR
241;49;m;HN
242;NA;f;CR
243;22;f;MX
244;55;m;BR
245;26;m;MX
246;30;f;HN
247;26;m;0
248;23;m;0
249;30;f;GT
250;39;m;GT
251;30;f;MX
252;56;m;BR
253;NA;m;ES
254;NA;f;EC
255;39;f;CO
256;NA;m;MX
257;27;NA;AR
258;NA;NA;PT
259;41;m;ES
260;25;f;MX
261;NA;f;ES
262;29;f;MX
263;36;f;MX
264;21;m;MX
265;NA;NA;ES
266;23;f;MX
267;NA;NA;ES
268;38;f;ES
269;NA;NA;PT
270;34;f;PT
271;32;f;BR
272;45;f;ES
273;39;f;PT
274;27;f;BR
275;NA;NA;ES
276;27;f;VE
277;NA;f;ES
278;38;f;ES
279;24;f;BR
280;36;f;BR
281;37;f;MX
282;29;f;ES
283;51;f;MX
284;NA;NA;PE
285;36;f;BR
286;40;o;0
287;NA;NA;AR
288;27;f;PE
289;23;f;CO
290;19;f;BR
291;28;f;BR
292;17;f;PE
293;20;f;AR
294;32;f;PT
295;NA;NA;MX
296;31;f;PT
297;38;NA;PT
298;22;f;PT
299;NA;NA;ES
300;32;f;EC
301;38;f;ES
302;22;f;MX
303;NA;NA;EC
304;33;f;MX
305;34;m;BR
306;37;m;SV
307;28;f;PE
308;32;f;BR
309;35;f;EC
310;22;f;MX
311;NA;NA;MX
312;27;f;CR
313;28;f;GT
314;20;f;MX
315;NA;f;EC
316;NA;NA;US
317;18;f;MX
318;NA;f;MX
319;55;f;BR
320;NA;NA;ES
321;25;f;CO
322;31;f;AR
323;NA;f;ES
324;22;f;MX
325;20;f;ES
326;39;f;CO
327;21;m;MX
328;35;f;PT
329;34;m;BR
330;33;m;BR
331;36;m;EC
332;35;m;BR
333;NA;NA;ES
334;21;f;BR
335;21;m;PE
336;24;m;CO
337;23;f;BR
338;23;f;MX
339;NA;f;PE
340;36;m;ES
341;25;f;CO
342;33;f;CL
343;74;m;PA
344;32;f;CO
345;20;f;CO
346;27;f;CO
347;47;f;BR
348;49;m;PA
349;65;f;UY
350;25;f;CO
351;22;f;CO
352;46;f;AR
353;27;f;MX
354;20;f;MX
355;30;f;VE
356;NA;f;BR
357;23;f;CL
358;55;f;ES
359;NA;NA;MX
360;NA;f;CO
361;43;f;ES
362;39;f;DE
363;29;f;GB
364;29;f;IT
365;32;f;BR
366;36;f;ES
367;20;f;PE
368;32;f;BR
369;27;f;ES
370;20;f;BR
371;NA;NA;NL
372;24;f;BE
373;26;m;PE
374;35;f;AR
375;54;m;ES
376;27;m;ES
377;43;f;CL
378;25;f;ES
379;40;m;EC
380;57;f;AR
381;33;f;CO
382;30;NA;ES
383;37;f;BR
384;31;f;BR
385;49;f;MX
386;27;m;CL
387;26;f;MX
388;26;m;EC
389;NA;NA;ES
390;39;f;MX
391;25;m;MX
392;52;f;VE
393;55;f;MX
394;23;f;MX
395;NA;NA;AR
396;NA;NA;EC
397;18;f;BR
398;21;f;MX
399;24;f;CR
400;41;m;AR
401;38;m;UY
402;31;f;GT
403;48;f;MX
404;45;m;BR
405;21;m;MX
406;52;m;MX
407;44;m;MX
408;NA;NA;FR
409;34;m;ES
410;23;m;PE
411;28;f;BR
412;NA;f;MX
413;30;f;BR
414;32;f;BR
415;27;f;BR
416;60;f;ES
417;37;m;MX
418;44;m;EC
419;31;f;MX
420;26;f;MX
421;21;f;AR
422;24;m;CO
423;NA;NA;ES
424;22;m;MX
425;NA;f;PE
426;NA;NA;ES
427;NA;m;BR
428;22;f;ES
429;45;m;MX
430;26;m;PT
431;39;m;MZ
432;43;f;MX
433;NA;NA;0
434;NA;NA;0
435;NA;NA;0
436;NA;NA;0
437;21;f;MX
438;40;f;0
439;35;f;MX
440;49;m;CL
441;29;f;AR
442;39;f;BR
443;32;f;MX
444;25;f;PE
445;44;m;VE
446;44;f;MX
447;21;f;PE
448;20;f;BR
449;26;m;PE
450;22;m;0
451;NA;f;CL
452;26;f;BR
453;28;f;MX
454;65;m;0
455;45;m;ES
456;24;o;ES
457;23;f;BR
458;23;f;MX
459;29;f;BR
460;19;f;PT
461;56;f;BR
462;22;f;BR
463;25;f;AR
464;26;NA;BR
465;NA;NA;BR
466;16;f;BR
467;50;f;GT
468;48;f;VE
469;55;f;ES
470;25;f;ES
471;NA;NA;ES
472;43;f;ES
473;29;f;CL
474;25;f;ES
475;40;f;EC
476;24;f;ES
477;31;m;PR
478;24;m;PT
479;NA;NA;ES
480;NA;NA;ES
481;NA;NA;NL
482;22;f;CR
483;30;f;CL
484;29;f;CL
485;42;f;ES
486;33;f;AR
487;33;f;VE
488;17;o;MX
489;46;f;BR
490;35;f;BR
491;32;m;PA
492;35;f;US
493;24;f;PE
494;38;f;MX
495;31;f;MX
496;NA;m;ES
497;41;m;ES
498;28;m;FR
499;32;m;MX
500;24;m;BR
501;20;f;PE
502;27;f;MX
503;29;f;PE
504;33;f;FR
505;22;f;MX
506;32;m;CL
507;35;f;MX
508;23;m;PR
509;33;f;CL
510;NA;f;MX
511;NA;f;BR
512;35;f;PT
513;29;f;BR
514;NA;f;BR
515;32;f;PE
516;21;f;BR
517;51;f;MX
518;NA;NA;ES
519;30;f;MX
520;NA;f;EC
521;19;m;BR
522;33;f;0
523;30;m;MX
524;33;f;CO
525;30;f;MX
526;26;m;MX
527;42;m;BR
528;32;m;BR
529;43;f;BR
530;43;m;BR
531;NA;f;CL
532;23;f;0
533;24;m;PE
534;55;m;CO
535;26;m;CL
536;19;m;CL
537;31;f;CR
538;26;f;MX
539;22;f;MX
540;23;f;GT
541;40;f;MX
542;21;f;MX
543;34;f;MX
544;23;m;BR
545;41;f;MX
546;26;m;PE
547;25;f;CO
548;26;f;MX
549;NA;f;MX
550;29;f;MX
551;23;f;BR
552;24;f;PT
553;24;f;BR
554;18;f;PT
555;47;m;BR
556;24;m;PE
557;NA;m;HN
558;23;m;BR
559;24;m;CL
560;61;m;NL
561;43;f;ES
562;42;f;0
563;27;m;AR
564;25;f;CL
565;27;f;ES
566;24;f;0
567;34;f;ES
568;56;m;CL
569;32;f;0
570;22;f;CO
571;NA;NA;CL
572;43;f;ES
573;35;m;PT
574;34;m;BR
575;40;m;PT
576;26;m;CO
577;NA;f;PT
578;30;m;SV
579;NA;m;PE
580;25;f;CL
581;22;f;MX
582;28;f;CL
583;23;f;UY
584;24;f;BR
585;29;f;BR
586;26;f;BR
587;NA;f;BR
588;35;f;CH
589;26;m;CO
590;NA;NA;ES
591;41;m;BR
592;31;f;FR
593;NA;NA;MX
594;NA;f;CL
595;39;m;EC
596;35;f;PT
597;32;f;CL
598;43;f;AR
599;NA;NA;PT
600;23;f;BR
601;37;f;AR
602;23;f;EC
603;46;f;BR
604;40;m;BR
605;26;m;ES
606;56;m;ES
607;24;m;MX
608;29;m;PE
609;25;NA;MX
610;38;m;MX
611;42;m;BR
612;NA;m;BR
613;55;m;DO
614;27;m;VE
615;54;m;BR
616;19;m;CR
617;26;m;MX
618;43;m;PE
619;25;f;ES
620;NA;NA;ES
621;22;f;ES
622;NA;NA;ES
623;23;f;ES
624;NA;f;PE
625;46;f;PT
626;37;f;ES
627;24;f;CO
628;28;f;CL
629;NA;f;AR
630;28;f;CR
631;31;f;BR
632;27;f;CR
633;27;f;BR
634;31;f;BR
635;21;f;MX
636;24;f;MX
637;35;f;CL
638;27;f;ES
639;26;f;MX
640;23;f;PR
641;19;f;BR
642;42;f;CL
643;56;f;EC
644;26;f;PT
645;39;NA;CL
646;35;f;BR
647;NA;f;BR
648;33;f;MX
649;24;f;AR
650;NA;NA;BR
651;24;f;BR
652;25;f;BR
653;22;f;BR
654;30;f;HN
655;31;f;CR
656;47;f;AR
657;33;f;BR
658;37;f;AR
659;47;f;0
660;32;f;CO
661;NA;NA;BR
662;47;f;AR
663;47;f;BR
664;NA;f;ES
665;27;f;CR
666;28;f;CL
667;46;f;CL
668;42;m;PE
669;NA;NA;PT
670;21;f;BR
671;NA;NA;PT
672;NA;f;BR
673;43;f;MX
674;24;f;PE
675;37;f;PT
676;35;m;BR
677;35;m;BR
678;NA;NA;CL
679;35;m;CL
680;36;m;CL
681;NA;f;PE
682;25;m;CO
683;31;f;BR
684;27;f;PE
685;NA;m;UY
686;28;f;AR
687;26;f;AR
688;24;f;EC
689;47;m;CA
690;27;f;EC
691;46;f;AR
692;50;f;AR
693;36;f;EC
694;NA;NA;MX
695;30;f;ES
696;24;f;MX
697;53;m;BR
698;42;m;BR
699;27;f;MX
700;25;m;MX
701;25;m;PE
702;41;m;FR
703;23;m;MX
704;37;m;SV
705;25;f;CL
706;29;m;EC
707;43;f;CL
708;46;f;MX
709;38;f;CL
710;47;f;EC
711;25;m;PE
712;38;m;FR
713;NA;NA;ES
714;NA;NA;ES
715;32;m;PE
716;NA;NA;GT
717;51;NA;ES
718;24;f;CL
719;31;m;PT
720;49;f;CL
721;39;m;CL
722;48;f;MX
723;24;m;PE
724;35;m;0
725;36;f;PE
726;62;f;CA
727;29;f;MX
728;27;f;MX
729;NA;NA;ES
730;28;f;UY
731;35;f;CL
732;27;f;MX
733;27;f;MX
734;33;m;AR
735;25;f;CO
736;22;f;PE
737;NA;f;ES
738;18;f;BR
739;33;f;CR
740;28;NA;BR
741;33;f;BO
742;32;f;UY
743;29;m;BR
744;44;f;MX
745;31;f;BR
746;NA;NA;CL
747;24;f;PE
748;22;f;PE
749;43;f;AR
750;16;f;VE
751;46;f;BR
752;38;f;AR
753;38;f;PT
754;34;f;PT
755;33;f;BR
756;57;m;BR
757;39;f;BR
758;34;f;BR
759;45;m;US
760;30;m;AT
761;57;f;MX
762;48;m;EC
763;23;f;CL
764;51;f;BR
765;23;m;PE
766;25;f;PE
767;40;m;ES
768;37;m;ES
769;43;m;BR
770;48;m;BR
771;35;f;MX
772;38;f;CL
773;23;f;MX
774;32;f;CL
775;43;m;ES
776;33;f;MX
777;52;m;0
778;37;f;BR
779;26;m;MX
780;49;m;VE
781;36;m;BR
782;30;f;BR
783;27;f;BR
784;30;f;CO
785;23;f;CR
786;24;f;PE
787;35;f;CL
788;40;m;SV
789;32;f;IT
790;53;NA;PT
791;21;f;AR
792;NA;f;CL
793;24;f;BR
794;47;f;PE
795;NA;f;PE
796;NA;m;ES
797;21;m;EC
798;NA;f;PE
799;26;m;NI
800;29;m;CL
801;22;m;CO
802;35;f;ES
803;27;f;MX
804;NA;NA;ES
805;32;f;BR
806;33;f;ES
807;51;NA;ES
808;25;m;ES
809;31;m;CO
810;31;m;CL
811;32;m;ES
812;24;m;CL
813;54;f;CL
814;34;f;BR
815;NA;NA;US
816;37;f;ES
817;41;f;PT
818;NA;f;PE
819;NA;f;PT
820;26;m;EC
821;NA;NA;MX
822;NA;NA;ES
823;29;m;MX
824;58;m;ES
825;NA;NA;PE
826;NA;f;CL
827;44;f;PE
828;23;f;PT
829;29;f;PE
830;23;m;CL
831;NA;NA;DE
832;23;f;CO
833;26;m;CR
834;NA;NA;ES
835;26;m;CO
836;30;f;AR
837;28;m;EC
838;21;f;ES
839;21;m;BR
840;25;m;ES
841;29;m;CO
842;26;m;GT
843;29;m;CL
844;43;f;VE
845;27;f;BR
846;39;m;CR
847;40;m;AR
848;NA;f;BR
849;31;f;AR
850;31;f;CL
851;35;f;BR
852;41;m;ES
853;21;m;ES
854;24;m;ES
855;NA;f;CL
856;31;f;CL
857;26;f;MX
858;26;f;PE
859;25;f;CO
860;23;f;MX
861;31;f;VE
862;NA;f;BR
863;23;f;CO
864;24;f;CO
865;20;f;CO
866;30;m;BR
867;22;f;MX
868;NA;NA;ES
869;41;m;BR
870;49;f;BR
871;24;f;BR
872;22;m;CO
873;24;f;MX
874;25;m;MX
875;NA;NA;CA
876;31;m;0
877;20;m;PE
878;NA;NA;EC
879;27;f;CL
880;35;NA;MX
881;NA;f;CL
882;36;f;BR
883;38;m;UY
884;27;m;HN
885;26;m;MX
886;36;m;ES
887;NA;m;CO
888;31;f;BR
889;28;f;HN
890;40;f;ES
891;20;f;PE
892;45;m;AR
893;28;f;EC
894;42;m;CR
895;31;m;AR
896;24;m;PE
897;22;f;BR
898;30;f;BR
899;39;m;PE
900;27;m;CA
901;55;f;VE
902;29;m;CO
903;21;f;PT
904;34;f;PE
905;22;f;EC
906;29;f;PE
907;32;f;BR
908;26;f;UY
909;22;m;CR
910;NA;f;MX
911;27;f;ES
912;NA;NA;TN
913;41;NA;ES
914;29;m;PA
915;28;m;HN
916;44;m;BR
917;37;f;BR
918;32;f;PE
919;NA;NA;PE
920;19;m;MX
921;30;f;AR
922;29;f;MX
923;33;f;PA
924;38;f;HN
925;40;m;BR
926;37;f;ES
927;30;f;MX
928;32;f;EC
929;25;f;CO
930;24;f;MX
931;25;f;CO
932;27;f;EC
933;24;f;PE
934;34;f;CO
935;34;f;PE
936;21;f;MX
937;29;f;PE
938;23;f;CO
939;25;f;EC
940;42;f;UY
941;33;f;VE
942;25;f;CO
943;23;f;BR
944;NA;m;PE
945;22;m;ES
946;21;m;CL
947;25;m;CL
948;38;m;BR
949;31;m;MX
950;24;m;AR
951;23;m;CO
952;23;m;PE
953;23;f;PT
954;29;f;CR
955;30;f;CO
956;25;NA;PT
957;37;f;ES
958;NA;m;ES
959;34;f;HN
960;33;f;PE
961;22;m;PE
962;27;f;CL
963;NA;NA;PT
964;55;f;PA
965;22;m;MZ
966;24;NA;CL
967;24;f;BR
968;23;f;MX
969;44;f;MX
970;34;m;BR
971;NA;NA;ES
972;50;f;CL
973;26;m;BR
974;24;m;CO
975;43;m;ES
976;NA;NA;MX
977;37;f;BR
978;31;m;VE
979;38;f;US
980;20;m;MX
981;23;m;PE
982;31;f;AR
983;NA;f;AR
984;34;f;PA
985;30;m;EC
986;32;f;0
987;30;m;ES
988;26;f;BR
989;29;f;MX
990;47;m;CO
991;NA;NA;CL
992;NA;f;CO
993;NA;NA;UY
994;28;f;PE
995;40;f;CR
996;40;m;ES
997;43;f;MX
998;39;m;CR
999;NA;NA;CR
1000;39;f;ES
1001;48;f;US
1002;34;m;CL
1003;30;m;MX
1004;35;m;PE
1005;NA;NA;MX
1006;NA;NA;ES
1007;40;f;ES
1008;27;f;AR
1009;27;m;MX
1010;21;m;MX
1011;27;m;MX
1012;42;m;CR
1013;NA;m;EC
1014;34;m;VE
1015;41;m;MX
1016;30;f;PE
1017;34;f;PE
1018;24;m;CO
1019;54;m;BR
1020;28;f;ES
1021;25;m;HN
1022;48;f;CL
1023;38;m;MX
1024;20;m;MX
1025;23;f;BR
1026;53;m;MX
1027;27;m;PE
1028;35;m;AO
1029;27;m;PE
1030;25;m;BR
1031;NA;NA;AR
1032;31;m;EC
1033;28;m;MX
1034;47;m;MX
1035;20;f;MX
1036;63;f;ES
1037;34;m;PE
1038;25;f;GB
1039;28;f;ES
1040;61;f;IT
1041;61;f;IT
1042;26;f;MX
1043;43;f;ES
1044;42;f;MX
1045;NA;NA;ES
1046;40;f;CR
1047;35;f;ES
1048;40;f;CO
1049;64;f;0
1050;39;f;BR
1051;38;m;BR
1052;25;m;CO
1053;24;f;MX
1054;46;f;MX
1055;NA;NA;VE
1056;NA;f;ES
1057;28;f;BR
1058;42;f;ES
1059;27;f;PE
1060;42;f;PE
1061;24;f;MX
1062;NA;f;CL
1063;50;f;BR
1064;22;f;BR
1065;31;f;CR
1066;NA;NA;CO
1067;21;m;PE
1068;29;f;ES
1069;25;f;0
1070;25;m;CR
1071;29;f;BR
1072;33;m;MX
