genero;pais;edad;hogar;estudios;empleo;conocermoocs;moocsrealizados;moocstrabajo;moocquierocontactos;moocquierocompartir;moocquieropersonas;moocquieroorganizaciones;moocquierootro;activo;potencialmdperiodicos;potencialmdtele;potencialmdradio;potencialmdredes;potencialmdinternet;perfilperiodicos;perfiltelevision;perfilradio;perfilredes;perfilinternet;potencialmooc;potencialeducformal;potencialeducfamiliar;edadeducaccion;valorainteligencia;valoraentusiasmo;valorainiciativas;valoradifusion;valoraconectar
Masculino;España;24;vivo con mis padres;Estudios superiores;asalariado;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;No;Sí;No;No;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;0-10 años;5;5;5;5;5
Femenino;España;23;convivencia con compañeros de piso;Universitario;estudiante;Alguien que conozco me recomendó probar los MOOCs;1;ninguno de ellos;No;Sí;Sí;Sí;0;5;5;4;2;5;5;Consumidor;Consumidor;Consumidor;Productor;Consumidor;5;5;5;10-20 años;5;5;5;5;5
Masculino;Argentina;57;vivo solo;Universitario;asalariado;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;No;Sí;No;Sí;0;5;4;5;5;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;0-10 años;5;5;5;5;5
Femenino;Brasil;39;convivencia en pareja;Estudios superiores;autónomo;Navegaba por la red con la intención de encontrar cursos en línea y me los encontré;0;ninguno de ellos;Sí;No;No;No;0;5;5;5;5;5;5;Colaborador;Productor;Consumidor;Consumidor;Colaborador;5;5;5;0-10 años;5;5;5;5;5
Masculino;Brasil;27;vivo solo;Master;autónomo;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;Sí;No;Sí;Sí;0;5;5;5;4;5;5;Productor;Productor;Productor;Productor;Productor;5;5;5;0-10 años;5;5;5;5;5
Masculino;Brasil;21;vivo con mis padres;Universitario;asalariado;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;No;No;No;Sí;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;0-10 años;4;4;4;4;4
Femenino;Brasil;21;vivo con mis padres;Universitario;estudiante;Navegaba por la red con la intención de encontrar cursos en línea y me los encontré;0;ninguno de ellos;No;No;No;Sí;0;5;5;4;5;5;5;Colaborador;Productor;Consumidor;Consumidor;Colaborador;5;5;5;0-10 años;5;2;5;5;5
Femenino;España;37;vivo solo;Master;asalariado;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;Sí;No;Sí;Sí;0;5;3;4;3;5;4;Consumidor;Consumidor;Consumidor;Productor;Productor;4;5;5;10-20 años;4;5;4;4;5
Femenino;Colombia;23;vivo con mis padres;Diplomado;estudiante;Navegaba por la red y por casualidad los encontré;1;ninguno de ellos;No;No;Sí;No;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Productor;Colaborador;5;5;5;0-10 años;5;5;5;5;4
Femenino;España;30;convivencia con compañeros de piso;Master;desempleado y en búsqueda de empleo;Navegaba por la red y por casualidad los encontré;4;todos ellos;No;No;No;Sí;0;5;4;5;5;5;4;Consumidor;Consumidor;Consumidor;Colaborador;Consumidor;4;5;5;10-20 años;5;4;4;5;4
