EP;EA;EM;R1;R2;R3;R4;R5;R6;RE;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11
29;15;13;5;5;5;5;5;5;5.00;5;5;5;5;5;5;5;5;5;5;5
29;4;15;3;3;5;2;2;2;1.91;3;3;4;4;4;3;4;4;4;4;4
35;9;12;5;5;5;4;4;4;3.18;5;5;4;5;4;4;4;5;4;5;4
24;8;8;4;2;2;1;2;1;3.36;5;4;4;5;3;2;2;5;5;4;4
33;14;16;4;4;3;2;3;3;3.82;4;5;4;4;4;4;4;5;4;4;5
35;10;16;5;5;4;3;4;4;3.27;5;5;5;4;4;4;4;5;4;4;4
25;12;14;5;4;4;4;1;3;3.91;5;4;4;5;3;3;4;4;5;5;4
24;9;10;5;4;3;2;4;4;2.82;5;5;4;4;4;4;5;5;5;5;5
33;8;16;5;2;4;4;2;4;2.64;4;5;4;4;2;2;3;4;3;3;4
30;10;14;5;4;5;2;3;5;2.27;5;4;4;4;4;4;4;4;4;4;4
24;7;12;4;4;4;5;4;4;2.82;5;5;5;5;5;5;5;5;5;5;5
37;6;16;5;5;5;4;4;5;2.00;3;3;4;4;3;2;4;2;3;3;3
31;18;16;5;5;4;2;3;2;2.82;4;3;5;3;5;5;5;5;4;5;5
34;15;14;5;5;3;4;5;5;4.55;5;5;5;5;5;5;5;5;5;5;5
30;10;15;4;4;2;2;2;4;3.09;4;4;4;3;4;4;4;4;3;3;4
36;11;13;4;4;4;3;5;5;2.55;4;4;4;3;4;1;4;4;4;4;4
39;13;15;4;5;5;5;4;4;2.00;4;5;4;3;3;3;3;5;3;4;2
26;20;15;5;4;3;2;2;4;3.09;5;5;5;4;5;5;5;5;5;5;5
27;12;16;5;4;4;4;4;4;2.09;4;4;4;4;4;4;4;4;4;4;4
35;15;15;4;4;4;2;2;5;3.91;4;4;4;4;4;4;4;4;4;4;4
31;1;12;5;4;4;1;4;1;3.73;5;5;5;4;4;4;4;5;4;4;4
33;20;18;4;5;4;5;4;5;4.82;5;5;5;5;5;4;5;5;5;4;4
33;12;14;5;1;2;1;5;5;2.91;5;5;5;5;4;4;5;5;5;5;5
36;16;15;5;4;4;2;4;4;3.36;4;4;4;4;3;3;4;4;4;4;4
33;15;14;5;2;3;2;1;2;3.36;5;5;5;4;5;5;5;5;4;5;5
41;15;17;5;4;4;3;2;3;1.91;5;4;4;3;4;4;3;4;4;4;4
33;14;15;4;5;4;5;3;4;1.91;2;4;2;2;3;2;2;4;4;4;2
27;7;16;4;4;4;5;4;5;3.64;4;4;4;4;4;4;4;4;4;4;4
30;8;14;4;4;4;2;5;4;2.91;4;4;5;4;4;5;5;4;3;4;4
32;9;16;4;3;3;3;3;3;3.36;4;4;5;4;5;5;4;5;5;5;5
28;1;16;5;5;4;5;4;5;3.00;4;4;3;4;5;5;3;5;4;5;4
41;15;14;4;4;3;3;3;3;3.73;4;4;4;4;4;4;4;4;4;4;4
25;11;11;5;4;2;2;4;4;2.64;5;5;4;3;5;5;5;5;5;5;5
33;9;14;5;4;4;3;1;3;2.64;5;5;5;4;4;4;4;4;3;4;5
28;14;18;5;5;4;2;1;5;3.82;4;4;5;2;4;4;4;5;4;5;5
33;4;16;4;4;3;2;4;4;2.64;3;4;4;2;2;2;4;4;4;4;4
