edprofe;edalum;edmov;RS;MRI;MVE
29;15;13;5.00;5.00;5.00
29;4;15;1.91;2.83;3.73
35;9;12;3.18;4.50;4.45
24;8;8;3.36;2.00;3.91
33;14;16;3.82;3.17;4.27
35;10;16;3.27;4.17;4.36
25;12;14;3.91;3.50;4.18
24;9;10;2.82;3.67;4.64
33;8;16;2.64;3.50;3.45
30;10;14;2.27;4.00;4.09
24;7;12;2.82;4.17;5.00
37;6;16;2.00;4.67;3.09
31;18;16;2.82;3.50;4.45
34;15;14;4.55;4.50;5.00
30;10;15;3.09;3.00;3.73
36;11;13;2.55;4.17;3.64
39;13;15;2.00;4.50;3.55
26;20;15;3.09;3.33;4.91
27;12;16;2.09;4.17;4.00
35;15;15;3.91;3.50;4.00
31;1;12;3.73;3.17;4.36
33;20;18;4.82;4.50;4.73
33;12;14;2.91;3.17;4.82
36;16;15;3.36;3.83;3.82
33;15;14;3.36;2.50;4.82
41;15;17;1.91;3.50;3.91
33;14;15;1.91;4.17;2.82
27;7;16;3.64;4.33;4.00
30;8;14;2.91;3.83;4.18
32;9;16;3.36;3.17;4.64
28;1;16;3.00;4.67;4.18
41;15;14;3.73;3.33;4.00
25;11;11;2.64;3.50;4.73
33;9;14;2.64;3.33;4.27
28;14;18;3.82;3.67;4.18
33;4;16;2.64;3.50;3.36
44;23;15;3.82;3.50;4.09
32;9;8;3.55;2.17;4.36
25;4;2;5.00;5.00;5.00
36;14;15;3.18;4.00;4.27
34;12;12;3.09;3.17;4.27
39;1;14;5.00;4.50;4.45
45;23;11;2.73;3.67;5.00
44;25;12;3.73;3.50;4.82
30;11;14;3.27;4.67;5.00
34;20;16;3.18;2.83;4.55
34;28;15;4.27;4.17;4.27
26;15;15;3.27;3.33;3.91
33;10;16;2.82;5.00;4.91
34;9;16;2.09;3.67;5.00
24;14;13;3.09;3.83;4.36
27;11;16;1.00;4.67;4.09
31;16;14;2.73;3.33;4.45
42;15;13;3.00;4.00;4.27
36;30;14;1.82;3.17;3.91
34;11;16;3.55;2.33;5.00
27;8;13;2.45;3.17;4.18
32;18;15;2.82;3.50;3.55
30;14;13;3.36;3.67;4.27
29;4;15;4.09;4.33;4.45
23;4;17;3.36;4.17;4.91
28;11;16;3.82;3.67;4.64
33;9;13;3.64;3.50;3.36
28;5;15;3.00;3.17;4.36
33;9;12;4.00;3.83;4.55
28;10;13;2.91;4.00;3.91
33;11;14;1.82;4.50;2.91
41;1;8;3.27;3.67;4.91
32;14;12;3.18;3.67;4.36
44;11;14;4.00;3.33;4.00
41;14;12;2.73;3.33;4.00
34;1;18;3.27;3.50;4.18
44;13;12;3.45;3.33;4.27
35;16;15;4.55;3.50;4.18
31;6;14;2.91;4.17;3.55
32;30;15;3.27;3.67;4.64
29;8;12;4.00;2.33;4.64
26;17;16;2.91;3.33;5.00
29;11;16;2.64;3.67;3.36
31;1;15;3.82;3.83;4.55
28;8;12;4.09;3.67;4.18
26;12;12;3.82;3.67;3.82
37;14;14;3.18;3.33;4.36
26;14;14;3.27;4.00;3.91
27;4;16;2.09;3.50;3.45
29;6;18;1.55;3.83;4.00
28;10;12;1.91;3.33;5.00
30;15;15;3.27;4.50;3.36
27;8;14;3.82;3.33;4.18
34;25;16;3.36;4.17;4.64
32;15;13;4.45;3.67;4.00
31;15;16;2.91;4.00;4.18
24;1;18;2.73;3.33;3.82
28;10;15;4.18;4.50;4.82
34;16;16;3.36;3.67;4.09
32;11;16;4.55;4.67;5.00
30;15;15;3.45;3.50;4.00
38;13;15;3.82;4.67;4.00
27;11;10;3.09;3.50;3.91
28;15;15;3.36;4.00;4.73
29;10;16;1.73;4.00;3.45
39;15;12;3.45;2.50;4.09
29;7;14;4.00;4.67;4.27
24;0.1;16;3.00;2.67;4.73
32;4;12;2.73;3.67;3.45
25;4;15;3.18;4.67;5.00
31;4;10;4.45;3.33;4.82
57;10;15;3.27;3.67;4.55
37;17;14;2.55;2.67;4.55
37;10;14;1.00;2.67;4.64
31;10;14;1.82;3.50;4.27
40;30;12;3.55;3.83;4.00
32;20;16;3.09;4.17;4.82
36;4;15;1.45;3.33;4.27
48;16;11;4.09;2.00;1.27
29;12;15;3.18;4.00;4.55
52;9;16;3.00;4.33;3.18
52;22;12;3.09;3.33;3.73
34;23;12;5.00;4.00;4.55
31;15;14;3.36;3.67;4.73
27;4;16;1.00;4.67;4.00
36;1;12;4.00;2.67;4.09
31;15;14;3.00;4.00;4.27
32;6;12;4.18;3.00;4.36
33;4;15;2.00;3.67;4.00
33;8;14;2.82;4.33;3.45
24;8;12;3.45;3.67;4.73
29;7;16;2.18;3.00;3.91
33;14;14;3.73;4.00;4.00
37;14;15;2.91;4.00;4.00
34;4;4;2.91;4.50;4.36
38;17;15;4.27;3.67;4.55
