Años;Edad
13;Móvil
15;Móvil
12;Móvil
8;Móvil
16;Móvil
16;Móvil
14;Móvil
10;Móvil
16;Móvil
14;Móvil
12;Móvil
16;Móvil
16;Móvil
14;Móvil
15;Móvil
13;Móvil
15;Móvil
15;Móvil
16;Móvil
15;Móvil
12;Móvil
18;Móvil
14;Móvil
15;Móvil
14;Móvil
17;Móvil
15;Móvil
16;Móvil
14;Móvil
16;Móvil
16;Móvil
14;Móvil
11;Móvil
14;Móvil
18;Móvil
16;Móvil
15;Móvil
8;Móvil
2;Móvil
15;Móvil
12;Móvil
14;Móvil
11;Móvil
12;Móvil
14;Móvil
16;Móvil
15;Móvil
15;Móvil
16;Móvil
16;Móvil
13;Móvil
16;Móvil
14;Móvil
13;Móvil
14;Móvil
16;Móvil
13;Móvil
15;Móvil
13;Móvil
15;Móvil
17;Móvil
16;Móvil
13;Móvil
15;Móvil
12;Móvil
13;Móvil
14;Móvil
8;Móvil
12;Móvil
14;Móvil
12;Móvil
18;Móvil
12;Móvil
15;Móvil
14;Móvil
15;Móvil
12;Móvil
16;Móvil
16;Móvil
15;Móvil
12;Móvil
12;Móvil
14;Móvil
14;Móvil
16;Móvil
18;Móvil
12;Móvil
15;Móvil
14;Móvil
16;Móvil
13;Móvil
16;Móvil
18;Móvil
15;Móvil
16;Móvil
16;Móvil
15;Móvil
15;Móvil
10;Móvil
15;Móvil
16;Móvil
12;Móvil
14;Móvil
12;Móvil
15;Móvil
10;Móvil
15;Móvil
14;Móvil
14;Móvil
14;Móvil
12;Móvil
16;Móvil
15;Móvil
11;Móvil
15;Móvil
16;Móvil
12;Móvil
12;Móvil
14;Móvil
16;Móvil
12;Móvil
14;Móvil
12;Móvil
15;Móvil
14;Móvil
12;Móvil
16;Móvil
14;Móvil
14;Móvil
15;Móvil
4;Móvil
15;Móvil
10;Móvil
29;Profesor
29;Profesor
35;Profesor
24;Profesor
33;Profesor
35;Profesor
25;Profesor
24;Profesor
33;Profesor
30;Profesor
24;Profesor
37;Profesor
31;Profesor
34;Profesor
30;Profesor
36;Profesor
39;Profesor
26;Profesor
27;Profesor
35;Profesor
31;Profesor
33;Profesor
33;Profesor
36;Profesor
33;Profesor
41;Profesor
33;Profesor
27;Profesor
30;Profesor
32;Profesor
28;Profesor
41;Profesor
25;Profesor
33;Profesor
28;Profesor
33;Profesor
44;Profesor
32;Profesor
25;Profesor
36;Profesor
34;Profesor
39;Profesor
45;Profesor
44;Profesor
30;Profesor
34;Profesor
34;Profesor
26;Profesor
33;Profesor
34;Profesor
24;Profesor
27;Profesor
31;Profesor
42;Profesor
36;Profesor
34;Profesor
27;Profesor
32;Profesor
30;Profesor
29;Profesor
23;Profesor
28;Profesor
33;Profesor
28;Profesor
33;Profesor
28;Profesor
33;Profesor
41;Profesor
32;Profesor
44;Profesor
41;Profesor
34;Profesor
44;Profesor
35;Profesor
31;Profesor
32;Profesor
29;Profesor
26;Profesor
29;Profesor
31;Profesor
28;Profesor
26;Profesor
37;Profesor
26;Profesor
27;Profesor
29;Profesor
28;Profesor
30;Profesor
27;Profesor
34;Profesor
32;Profesor
31;Profesor
24;Profesor
28;Profesor
34;Profesor
32;Profesor
30;Profesor
38;Profesor
27;Profesor
28;Profesor
29;Profesor
39;Profesor
29;Profesor
32;Profesor
25;Profesor
31;Profesor
57;Profesor
37;Profesor
37;Profesor
31;Profesor
40;Profesor
32;Profesor
36;Profesor
48;Profesor
29;Profesor
52;Profesor
52;Profesor
34;Profesor
31;Profesor
27;Profesor
36;Profesor
31;Profesor
32;Profesor
33;Profesor
33;Profesor
24;Profesor
29;Profesor
25;Profesor
33;Profesor
37;Profesor
34;Profesor
38;Profesor
25;Profesor
