RedSocial;Predisposicion
Facebook;5
Facebook;1
Facebook;2
Facebook;4
Facebook;4
Facebook;3
Facebook;4
Facebook;2
Facebook;1
Facebook;1
Facebook;1
Facebook;2
Facebook;4
Facebook;3
Facebook;2
Facebook;1
Facebook;3
Facebook;3
Facebook;4
Facebook;5
Facebook;5
Facebook;5
Facebook;4
Facebook;3
Facebook;1
Facebook;4
Facebook;1
Facebook;1
Facebook;4
Facebook;4
Facebook;4
Facebook;4
Facebook;2
Facebook;1
Facebook;4
Facebook;2
Facebook;4
Facebook;4
Facebook;5
Facebook;2
Facebook;3
Facebook;5
Facebook;1
Facebook;5
Facebook;3
Facebook;3
Facebook;5
Facebook;3
Facebook;1
Facebook;1
Facebook;2
Facebook;1
Facebook;1
Facebook;2
Facebook;1
Facebook;3
Facebook;1
Facebook;4
Facebook;3
Facebook;3
Facebook;2
Facebook;3
Facebook;4
Facebook;2
Facebook;4
Facebook;2
Facebook;1
Facebook;1
Facebook;2
Facebook;4
Facebook;2
Facebook;2
Facebook;5
Facebook;5
Facebook;2
Facebook;3
Facebook;4
Facebook;3
Facebook;1
Facebook;4
Facebook;4
Facebook;3
Facebook;2
Facebook;4
Facebook;1
Facebook;1
Facebook;1
Facebook;3
Facebook;2
Facebook;4
Facebook;5
Facebook;1
Facebook;2
Facebook;4
Facebook;4
Facebook;4
Facebook;4
Facebook;4
Facebook;4
Facebook;4
Facebook;2
Facebook;4
Facebook;3
Facebook;3
Facebook;2
Facebook;1
Facebook;5
Facebook;4
Facebook;1
Facebook;1
Facebook;1
Facebook;3
Facebook;2
Facebook;1
Facebook;5
Facebook;1
Facebook;3
Facebook;4
Facebook;5
Facebook;3
Facebook;1
Facebook;4
Facebook;1
Facebook;5
Facebook;2
Facebook;2
Facebook;2
Facebook;1
Facebook;1
Facebook;4
Facebook;3
Facebook;2
Facebook;5
Facebook;3
Whatsapp;5
Whatsapp;1
Whatsapp;2
Whatsapp;2
Whatsapp;2
Whatsapp;2
Whatsapp;4
Whatsapp;2
Whatsapp;1
Whatsapp;1
Whatsapp;1
Whatsapp;2
Whatsapp;4
Whatsapp;2
Whatsapp;2
Whatsapp;1
Whatsapp;1
Whatsapp;5
Whatsapp;4
Whatsapp;3
Whatsapp;2
Whatsapp;5
Whatsapp;1
Whatsapp;2
Whatsapp;1
Whatsapp;2
Whatsapp;4
Whatsapp;4
Whatsapp;4
Whatsapp;4
Whatsapp;4
Whatsapp;4
Whatsapp;2
Whatsapp;3
Whatsapp;4
Whatsapp;4
Whatsapp;5
Whatsapp;2
Whatsapp;5
Whatsapp;2
Whatsapp;2
Whatsapp;5
Whatsapp;1
Whatsapp;5
Whatsapp;3
Whatsapp;3
Whatsapp;5
Whatsapp;2
Whatsapp;1
Whatsapp;1
Whatsapp;3
Whatsapp;1
Whatsapp;3
Whatsapp;2
Whatsapp;4
Whatsapp;3
Whatsapp;1
Whatsapp;4
Whatsapp;4
Whatsapp;4
Whatsapp;2
Whatsapp;5
Whatsapp;4
Whatsapp;4
Whatsapp;4
