nombre;grupo;profesor;comunidad;genero;edad;edadmalumnos;materias;modalidad;movil;a;b;c;d;e;f;g;h;i;j;k;l;m;no;p;q;r;s;tu;v;w;x;y;z;aa;ab;ac;ad;ae;af;ag;ah;ai;aj;ak;al
1;Grupo 1;Secundaria;Comunidad Valenciana;Mujer;29;15;Idiomas;Presencial;Sí;Sí;Sí;Socrative, para realizar actividades y test;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;El móvil puede utilizarse en los descansos;Profesor;13
2;Grupo 2;Primaria;Comunidad Foral de Navarra;Mujer;29;4;Otras ...;Presencial;Sí;No;No;;No;Sí, pero solo durante la jornada laboral y el periodo;1;1;1;1;5;4;1;1;1;4;1;3;3;5;2;2;2;3;3;4;4;4;3;4;4;4;4;4;El uso del móvil está prohibido al alumnado, El uso del móvil está prohibido al profesorado;Ministerio de Educación;15
3;Grupo 3;Primaria;Comunidad Valenciana;Hombre;35;9;Música;Presencial;Sí;No;No;;Sí, siempre;Sí, siempre;2;2;4;4;4;4;2;3;2;4;4;5;5;5;4;4;4;5;5;4;5;4;4;4;5;4;5;4;El uso del móvil está prohibido al alumnado;Ministerio de Educación;12
4;Grupo 1;Primaria;Comunidad de Madrid;Hombre;24;8;Música, Matemáticas, Lengua y literatura;Presencial;Sí;Sí;No;Additio para gestionar la clase, así como para la asistencia y notas, es más cómodo que un cuaderno.;Sí, siempre;Sí, siempre;4;2;5;4;4;5;1;4;1;4;3;4;2;2;1;2;1;5;4;4;5;3;2;2;5;5;4;4;El uso del móvil está prohibido al alumnado;Centro escolar;8
5;Grupo 1;Secundaria;Andalucía;Mujer;33;14;Música, Lengua y literatura, Geografía e historia;Presencial;Sí;Sí;Sí;Edmodo, YouTube, iSeneca, Prezi, DRAE, Canva, Wattpad...;No;Sí, siempre;4;2;4;4;4;4;4;4;4;4;4;4;4;3;2;3;3;4;5;4;4;4;4;4;5;4;4;5;Otros ...;Comunidad autónoma;16
6;Grupo 1;Primaria;Aragón;Hombre;35;10;Educación física;NA (No he ejercido como docente);Sí;NA (No he ejercido como docente);NA (No he ejercido como docente);;Sí, siempre;Sí, siempre;3;2;5;5;3;3;3;3;3;3;3;5;5;4;3;4;4;5;5;5;4;4;4;4;5;4;4;4;Otros ...;Centro escolar;16
7;Grupo 2;Primaria;Comunidad Valenciana;Hombre;25;12;Matemáticas, Lengua y literatura, Educación plástica, Otras ...;Presencial;Sí;Sí;Sí;Utilizo aplicaciones que me permiten abrir documentos en línea en formato doc y PDF. Asimismo, utilizo herramientas móviles como la cámara y el micrófono para grabar determinadas situaciones y explicaciones. Del mismo, en mi actividad docente utilizo a diario la aplicación ClassDojo para controlar el comportamiento de mi alumnado. ;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;4;4;4;4;5;4;2;3;4;5;4;5;4;4;4;1;3;5;4;4;5;3;3;4;4;5;5;4;El uso del móvil está prohibido al alumnado;Centro escolar;14
8;Grupo 1;Primaria;Castilla La Mancha;Mujer;24;9;Matemáticas, Geografía e historia, Idiomas, Biología y geología;Presencial;Sí;Sí;No;Computadora y móvil;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;2;2;4;4;3;3;2;3;2;3;3;5;4;3;2;4;4;5;5;4;4;4;4;5;5;5;5;5;Otros ...;Comunidad autónoma;10
9;Grupo 2;Primaria;Extremadura;Hombre;33;8;Matemáticas, Educación física;Presencial;Sí;Sí;Sí;Utilizo el móvil y la aplicación whatsapp para estar informados y conectados entre los compañeros de nivel y el equipo directivo para cualquier asunto que compete el ámbito educativo.;No;Sí, siempre;1;1;5;1;5;5;1;1;1;5;3;5;2;4;4;2;4;4;5;4;4;2;2;3;4;3;3;4;El uso del móvil está prohibido al alumnado;NS / NC;16
10;Grupo 1;Primaria;Comunidad Foral de Navarra;Mujer;30;10;Otras ...;Presencial;Sí;Sí;No;;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;1;1;5;1;5;3;1;3;1;3;1;5;4;5;2;3;5;5;4;4;4;4;4;4;4;4;4;4;El uso del móvil está prohibido al alumnado, El uso del móvil está prohibido al profesorado;Centro escolar;14
11;Grupo 3;Primaria;Aragón;Mujer;24;7;Lengua y literatura, Educación plástica, Educación física, Otras ...;Presencial;Sí;Sí;No;Plataformas como Alexia,el correo del colegio...;No;Sí, pero solo durante la jornada laboral y el periodo;1;1;4;2;4;4;2;4;1;4;4;4;4;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;12
