tag, objective_measure, teacher_measure, student_measure, diff_stu, diff_tea, round
2015_4_20_9,4.24,5,5,0.76,0.76,Control
2015_4_20_9,4.24,5,4,-0.24,0.76,Control
2015_4_20_9,4.24,5,6,1.76,0.76,Control
2015_4_20_9,4.24,5,3,-1.24,0.76,Control
2015_4_20_9,4.24,5,4,-0.24,0.76,Control
2015_4_20_9,4.24,5,5,0.76,0.76,Control
2015_4_20_9,4.24,5,4,-0.24,0.76,Control
2015_4_20_9,4.24,5,4,-0.24,0.76,Control
2015_4_20_9,4.24,5,4,-0.24,0.76,Control
2015_4_20_9,4.24,5,5,0.76,0.76,Control
2015_4_20_9,4.24,5,5,0.76,0.76,Control
2015_4_20_9,4.24,5,4,-0.24,0.76,Control
2015_4_20_9,4.24,5,4,-0.24,0.76,Control
2015_4_20_9,4.24,5,5,0.76,0.76,Control
2015_4_20_9,4.24,5,7,2.76,0.76,Control
2015_4_20_9,4.24,5,4,-0.24,0.76,Control
2015_4_20_9,4.24,5,5,0.76,0.76,Control
2015_4_20_9,4.24,5,6,1.76,0.76,Control
2015_4_20_9,4.24,5,5,0.76,0.76,Control
2015_4_20_9,4.24,5,5,0.76,0.76,Control
2015_4_20_9,4.24,5,5,0.76,0.76,Control
2015_4_20_11,3.41,4,4,0.59,0.59,Control
2015_4_20_11,3.41,4,3,-0.41,0.59,Control
2015_4_20_11,3.41,4,4,0.59,0.59,Control
2015_4_20_11,3.41,4,4,0.59,0.59,Control
2015_4_20_11,3.41,4,4,0.59,0.59,Control
2015_4_20_11,3.41,4,4,0.59,0.59,Control
2015_4_20_11,3.41,4,3,-0.41,0.59,Control
2015_4_20_11,3.41,4,2,-1.41,0.59,Control
2015_4_20_11,3.41,4,2,-1.41,0.59,Control
2015_4_20_11,3.41,4,2,-1.41,0.59,Control
2015_4_20_11,3.41,4,2,-1.41,0.59,Control
2015_4_20_11,3.41,4,3,-0.41,0.59,Control
2015_4_20_11,3.41,4,5,1.59,0.59,Control
2015_4_20_11,3.41,4,4,0.59,0.59,Control
2015_4_20_11,3.41,4,4,0.59,0.59,Control
2015_4_20_11,3.41,4,5,1.59,0.59,Control
2015_4_20_11,3.41,4,2,-1.41,0.59,Control
2015_4_20_11,3.41,4,4,0.59,0.59,Control
2015_4_20_11,3.41,4,6,2.59,0.59,Control
2015_4_20_13,5.18,5,6,0.82,-0.18,Control
2015_4_20_13,5.18,5,5,-0.18,-0.18,Control
2015_4_20_13,5.18,5,4,-1.18,-0.18,Control
2015_4_20_13,5.18,5,4,-1.18,-0.18,Control
2015_4_20_13,5.18,5,5,-0.18,-0.18,Control
2015_4_20_13,5.18,5,5,-0.18,-0.18,Control
2015_4_20_13,5.18,5,4,-1.18,-0.18,Control
2015_4_20_13,5.18,5,5,-0.18,-0.18,Control
2015_4_20_13,5.18,5,6,0.82,-0.18,Control
2015_4_20_13,5.18,5,6,0.82,-0.18,Control
2015_4_20_13,5.18,5,4,-1.18,-0.18,Control
2015_4_20_13,5.18,5,5,-0.18,-0.18,Control
2015_4_22_8,1.29,4,6,4.71,2.71,Control
2015_4_22_8,1.29,4,2,0.71,2.71,Control
2015_4_22_8,1.29,4,4,2.71,2.71,Control
2015_4_22_8,1.29,4,4,2.71,2.71,Control
2015_4_22_8,1.29,4,4,2.71,2.71,Control
2015_4_22_8,1.29,4,4,2.71,2.71,Control
2015_4_22_8,1.29,4,5,3.71,2.71,Control
2015_4_22_8,1.29,4,4,2.71,2.71,Control
2015_4_22_8,1.29,4,4,2.71,2.71,Control
2015_4_22_8,1.29,4,6,4.71,2.71,Control
2015_4_22_8,1.29,4,4,2.71,2.71,Control
2015_4_29_10,3.04,4,3,-0.04,0.96,Experimental
2015_4_29_10,3.04,4,3,-0.04,0.96,Experimental
2015_4_29_10,3.04,4,2,-1.04,0.96,Experimental
2015_4_29_10,3.04,4,2,-1.04,0.96,Experimental
2015_4_29_10,3.04,4,2,-1.04,0.96,Experimental
2015_4_29_10,3.04,4,5,1.96,0.96,Experimental
2015_4_29_10,3.04,4,3,-0.04,0.96,Experimental
2015_4_29_10,3.04,4,3,-0.04,0.96,Experimental
2015_4_29_10,3.04,4,2,-1.04,0.96,Experimental
2015_4_29_10,3.04,4,3,-0.04,0.96,Experimental
2015_4_29_10,3.04,4,2,-1.04,0.96,Experimental
2015_4_29_10,3.04,4,2,-1.04,0.96,Experimental
2015_4_29_10,3.04,4,3,-0.04,0.96,Experimental
