aprendido, volumen, tag
"5","5","2EF_BR_L2"
"7","4","2EF_BR_L2"
"4","6","2EF_BR_L2"
"4","3","2EF_BR_L2"
"5","4","2EF_BR_L2"
"3","5","2EF_BR_L2"
"5","4","2EF_BR_L2"
"4","4","2EF_BR_L2"
"4","4","2EF_BR_L2"
"4","5","2EF_BR_L2"
"6","5","2EF_BR_L2"
"5","4","2EF_BR_L2"
"4","4","2EF_BR_L2"
"7","5","2EF_BR_L2"
"4","7","2EF_BR_L2"
"4","4","2EF_BR_L2"
"5","5","2EF_BR_L2"
"5","6","2EF_BR_L2"
"2","5","2EF_BR_L2"
"6","5","2EF_BR_L2"
"6","5","2EF_BR_L2"
"4","4","2A_AC_L4"
"4","3","2A_AC_L4"
"5","4","2A_AC_L4"
"5","4","2A_AC_L4"
"4","4","2A_AC_L4"
"6","4","2A_AC_L4"
"5","3","2A_AC_L4"
"5","2","2A_AC_L4"
"4","2","2A_AC_L4"
"4","2","2A_AC_L4"
"5","2","2A_AC_L4"
"4","3","2A_AC_L4"
"6","5","2A_AC_L4"
"4","4","2A_AC_L4"
"4","4","2A_AC_L4"
"6","5","2A_AC_L4"
"4","2","2A_AC_L4"
"4","4","2A_AC_L4"
"3","6","2A_AC_L4"
"5","6","4DIV_BR_L6"
"4","5","4DIV_BR_L6"
"6","4","4DIV_BR_L6"
"4","4","4DIV_BR_L6"
"3","5","4DIV_BR_L6"
"4","5","4DIV_BR_L6"
"4","4","4DIV_BR_L6"
"4","5","4DIV_BR_L6"
"7","6","4DIV_BR_L6"
"6","6","4DIV_BR_L6"
"5","4","4DIV_BR_L6"
"6","5","4DIV_BR_L6"
"5","6","3D_AC_X1"
"4","2","3D_AC_X1"
"5","4","3D_AC_X1"
"5","4","3D_AC_X1"
"5","4","3D_AC_X1"
"6","4","3D_AC_X1"
"6","5","3D_AC_X1"
"5","4","3D_AC_X1"
"4","4","3D_AC_X1"
"7","6","3D_AC_X1"
"5","4","3D_AC_X1"
"5","6","3B_AS_J2"
"5","5","3B_AS_J2"
"5","6","3B_AS_J2"
"4","5","3B_AS_J2"
"7","6","3B_AS_J2"
"5","3","3B_AS_J2"
"5","2","3B_AS_J2"
"4","4","3B_AS_J2"
"5","5","3B_AS_J2"
"6","4","3B_AS_J2"
"6","4","3B_AS_J2"
"5","6","3B_AS_J2"
"6","6","3B_AS_J2"
"5","7","3B_AS_J2"
"5","6","3B_AS_J2"
"2","4","3B_AS_J2"
"2","3","3B_AS_J2"
"5","3","3B_AS_J2"
"4","4","3DIV_BR_J3"
"5","4","3DIV_BR_J3"
"6","7","3DIV_BR_J3"
"4","5","3DIV_BR_J3"
"4","5","3DIV_BR_J3"
"5","1","3DIV_BR_J3"
"6","2","3DIV_BR_J3"
"6","4","3DIV_BR_J3"
"5","4","3DIV_BR_J3"
