group;session;nom;nps;npt;lps;lpt
2A;2015_4_20_11;3.41;3.53;4;4.53;5
2A;2015_5_4_11;2.95;4.47;4;4.53;4
2B;2015_3_17_9;4.3;5.06;5;5.06;4
2B;2015_5_8_9;3.77;4.31;5;5.5;4
2CDBil;2015_3_17_11;2.01;3;3;4.7;6
2CDBil;2015_5_8_11;3.06;4.38;4;4.76;4
2EF;2015_4_20_9;4.24;4.71;5;4.71;4
2EF;2015_5_4_9;4.53;4.55;3;4.95;6
2EFBil;2015_4_22_10;2.61;3.55;4;4.82;4
2EFBil;2015_4_29_10;3.04;3;4;5;4
3A;2015_3_16_13;2.84;5;6;4.8;4
3A;2015_4_30_13;1.41;2.67;2;5.33;5
3B;2015_3_16_9;3.45;4.72;2;4.83;5
3B;2015_4_30_9;4.26;3.94;3;5.61;5
3C;2015_4_22_13;5.37;6.27;5;3.18;3
3C;2015_4_29_13;7;6.23;5;2.64;4
3D;2015_4_22_8;1.29;4.27;4;5.18;5
3D;2015_4_29_8;1;3.18;4;5.27;5
3DIV;2015_3_16_10;3.77;4;3;5;6
3DIV;2015_4_30_10;4.84;3;2;5.33;6
4;2015_4_28_12;5.5;4.81;4;4.81;5
4;2015_5_5_12;4.33;4.82;4;4.82;4
4DIV;2015_4_20_13;5.18;4.92;5;4.83;5
4DIV;2015_5_4_13;6.13;5.08;4;5.17;4
BT1;2015_3_17_12;3.83;2.75;4;5.5;6
BT1;2015_5_8_13;3.03;3.44;3;5.11;4
