Session, Type, Measure
"2015_3_16_10","objective","3.767815371638372"
"2015_3_16_10","student","4"
"2015_3_16_10","teacher","3"
"2015_3_16_13","objective","2.8383279691803995"
"2015_3_16_13","student","5"
"2015_3_16_13","teacher","6"
"2015_3_16_9","objective","3.4525872159270015"
"2015_3_16_9","student","4.722222222222222"
"2015_3_16_9","teacher","2"
"2015_3_17_11","objective","2.014431930152785"
"2015_3_17_11","student","3"
"2015_3_17_11","teacher","3"
"2015_3_17_12","objective","3.8257164463018305"
"2015_3_17_12","student","2.75"
"2015_3_17_12","teacher","4"
"2015_3_17_9","objective","4.3038139287056625"
"2015_3_17_9","student","5.055555555555555"
"2015_3_17_9","teacher","5"
"2015_4_20_11","objective","3.4070645333966327"
"2015_4_20_11","student","3.526315789473684"
"2015_4_20_11","teacher","4"
"2015_4_20_13","objective","5.175301052014168"
"2015_4_20_13","student","4.916666666666667"
"2015_4_20_13","teacher","5"
"2015_4_20_9","objective","4.239761541167361"
"2015_4_20_9","student","4.714285714285714"
"2015_4_20_9","teacher","5"
"2015_4_22_10","objective","2.6108324730301087"
"2015_4_22_10","student","3.5454545454545454"
"2015_4_22_10","teacher","4"
"2015_4_22_13","objective","5.37481928634406"
"2015_4_22_13","student","6.2727272727272725"
"2015_4_22_13","teacher","5"
"2015_4_22_8","objective","1.294005066294692"
"2015_4_22_8","student","4.2727272727272725"
"2015_4_22_8","teacher","4"
"2015_4_28_12","objective","5.502166579271107"
"2015_4_28_12","student","4.8125"
"2015_4_28_12","teacher","4"
"2015_4_29_10","objective","3.036196264570393"
"2015_4_29_10","student","3"
"2015_4_29_10","teacher","4"
"2015_4_29_13","objective","7.00000024589911"
"2015_4_29_13","student","6.2272727272727275"
"2015_4_29_13","teacher","5"
"2015_4_29_8","objective","1.0000000853335504"
"2015_4_29_8","student","3.1818181818181817"
"2015_4_29_8","teacher","4"
"2015_4_30_10","objective","4.837552923924632"
"2015_4_30_10","student","3"
"2015_4_30_10","teacher","2"
"2015_4_30_13","objective","1.4064322617165894"
"2015_4_30_13","student","2.6666666666666665"
"2015_4_30_13","teacher","2"
"2015_4_30_9","objective","4.261846944794058"
"2015_4_30_9","student","3.9444444444444446"
"2015_4_30_9","teacher","3"
"2015_5_4_11","objective","2.9503122795061616"
"2015_5_4_11","student","4.473684210526316"
"2015_5_4_11","teacher","4"
"2015_5_4_13","objective","6.127524176388868"
"2015_5_4_13","student","5.083333333333333"
"2015_5_4_13","teacher","4"
"2015_5_4_9","objective","4.528814412005898"
"2015_5_4_9","student","4.55"
"2015_5_4_9","teacher","3"
"2015_5_5_12","objective","4.334328158417707"
"2015_5_5_12","student","4.818181818181818"
"2015_5_5_12","teacher","4"
"2015_5_8_11","objective","3.055621064337764"
"2015_5_8_11","student","4.380952380952381"
"2015_5_8_11","teacher","4"
"2015_5_8_13","objective","3.0304075117866165"
"2015_5_8_13","student","3.4444444444444446"
"2015_5_8_13","teacher","3"
"2015_5_8_9","objective","3.765485398982083"
"2015_5_8_9","student","4.3125"
"2015_5_8_9","teacher","5"
