Session, Type, Difference
"2015_3_16_10","Students","-0.2321846283616278"
"2015_3_16_10","Teachers","0.7678153716383722"
"2015_3_16_13","Students","-2.1616720308196005"
"2015_3_16_13","Teachers","-3.1616720308196005"
"2015_3_16_9","Students","-1.2696350062952209"
"2015_3_16_9","Teachers","1.4525872159270015"
"2015_3_17_11","Students","-0.9855680698472149"
"2015_3_17_11","Teachers","-0.9855680698472149"
"2015_3_17_12","Students","1.0757164463018305"
"2015_3_17_12","Teachers","-0.1742835536981695"
"2015_3_17_9","Students","-0.7517416268498929"
"2015_3_17_9","Teachers","-0.6961860712943375"
"2015_4_20_11","Students","-0.11925125607705134"
"2015_4_20_11","Teachers","-0.5929354666033673"
"2015_4_20_13","Students","0.25863438534750127"
"2015_4_20_13","Teachers","0.17530105201416823"
"2015_4_20_9","Students","-0.47452417311835315"
"2015_4_20_9","Teachers","-0.7602384588326387"
"2015_4_22_10","Students","-0.9346220724244367"
"2015_4_22_10","Teachers","-1.3891675269698913"
"2015_4_22_13","Students","-0.8979079863832125"
"2015_4_22_13","Teachers","0.37481928634406003"
"2015_4_22_8","Students","-2.9787222064325807"
"2015_4_22_8","Teachers","-2.705994933705308"
"2015_4_28_12","Students","0.6896665792711074"
"2015_4_28_12","Teachers","1.5021665792711074"
"2015_4_29_10","Students","0.036196264570393044"
"2015_4_29_10","Teachers","-0.963803735429607"
"2015_4_29_13","Students","0.7727275186263824"
"2015_4_29_13","Teachers","2.00000024589911"
"2015_4_29_8","Students","-2.181818096484631"
"2015_4_29_8","Teachers","-2.9999999146664496"
"2015_4_30_10","Students","1.8375529239246324"
"2015_4_30_10","Teachers","2.8375529239246324"
"2015_4_30_13","Students","-1.260234404950077"
"2015_4_30_13","Teachers","-0.5935677382834106"
"2015_4_30_9","Students","0.3174025003496137"
"2015_4_30_9","Teachers","1.2618469447940583"
"2015_5_4_11","Students","-1.5233719310201543"
"2015_5_4_11","Teachers","-1.0496877204938384"
"2015_5_4_13","Students","1.0441908430555351"
"2015_5_4_13","Teachers","2.127524176388868"
"2015_5_4_9","Students","-0.021185587994101418"
"2015_5_4_9","Teachers","1.5288144120058984"
"2015_5_5_12","Students","-0.48385365976411165"
"2015_5_5_12","Teachers","0.3343281584177067"
"2015_5_8_11","Students","-1.3253313166146174"
"2015_5_8_11","Teachers","-0.9443789356622361"
"2015_5_8_13","Students","-0.41403693265782815"
"2015_5_8_13","Teachers","0.030407511786616492"
"2015_5_8_9","Students","-0.5470146010179171"
"2015_5_8_9","Teachers","-1.234514601017917"
