tag, objective_measure, teacher_estim, students_estim
"1","2.767815371638372","3","4"
"2","1.8383279691803998","6","5"
"3","2.4525872159270015","2","4.722222222222222"
"4","1.0144319301527849","3","3"
"5","2.8257164463018305","4","2.75"
"6","3.3038139287056625","5","5.055555555555555"
"7","2.4070645333966327","4","3.526315789473684"
"8","4.175301052014168","5","4.916666666666667"
"9","3.239761541167361","5","4.714285714285714"
"10","1.6108324730301085","4","3.5454545454545454"
"11","4.37481928634406","5","6.2727272727272725"
"12","0.294005066294692","4","4.2727272727272725"
"13","4.502166579271107","4","4.8125"
"14","2.036196264570393","4","3"
"15","6.00000024589911","5","6.2272727272727275"
"16","8.533355037032348e-8","4","3.1818181818181817"
"17","3.8375529239246324","2","3"
"18","0.4064322617165894","2","2.6666666666666665"
"19","3.2618469447940583","3","3.9444444444444446"
"20","1.9503122795061614","4","4.473684210526316"
"21","5.127524176388868","4","5.083333333333333"
"22","3.528814412005898","3","4.55"
"23","3.3343281584177067","4","4.818181818181818"
"24","2.055621064337764","4","4.380952380952381"
"25","2.0304075117866165","3","3.4444444444444446"
"26","2.765485398982083","5","4.3125"
