diasemana,numsesion,edad,numestudiantes,percchicas,percchicos,objective_noise,teacher_noise,students_noise,teacher_aprendido,students_aprendido
4,3,15.777777777777779,9,33,66,3.767815371638372,3,4,6,5
4,6,14.8,5,80,20,2.8383279691803995,6,5,4,4.8
4,2,14.833333333333334,18,38,61,3.4525872159270015,2,4.722222222222222,5,4.833333333333333
5,4,13.4,10,90,10,2.014431930152785,3,3,6,4.7
5,6,16.625,8,37,62,3.8257164463018305,4,2.75,6,5.5
5,2,13.5,18,83,16,4.3038139287056625,5,5.055555555555555,4,5.055555555555555
1,4,13.736842105263158,19,47,52,3.4070645333966327,4,3.526315789473684,5,4.526315789473684
1,6,16.916666666666668,12,58,41,5.175301052014168,5,4.916666666666667,5,4.833333333333333
1,2,14,21,23,76,4.239761541167361,5,4.714285714285714,4,4.714285714285714
3,3,13.363636363636363,22,59,40,2.6108324730301087,4,3.5454545454545454,4,4.818181818181818
3,6,14.727272727272727,22,40,59,5.37481928634406,5,6.2727272727272725,3,3.1818181818181817
3,1,14.545454545454545,11,54,45,1.294005066294692,4,4.2727272727272725,5,5.181818181818182
3,5,15.75,16,18,81,5.502166579271107,4,4.8125,5,4.8125
3,3,13.304347826086957,23,56,43,3.036196264570393,4,3,4,5
3,6,14.772727272727273,22,31,68,7.00000024589911,5,6.2272727272727275,4,2.6363636363636362
3,1,14.636363636363637,11,54,45,1.0000000853335504,4,3.1818181818181817,5,5.2727272727272725
4,3,16,12,50,50,4.837552923924632,2,3,6,5.333333333333333
4,6,15.166666666666666,6,83,16,1.4064322617165894,2,2.6666666666666665,5,5.333333333333333
4,2,14.777777777777779,18,44,55,4.261846944794058,3,3.9444444444444446,5,5.611111111111111
1,4,13.736842105263158,19,47,52,2.9503122795061616,4,4.473684210526316,4,4.526315789473684
1,6,16.916666666666668,12,41,58,6.127524176388868,4,5.083333333333333,4,5.166666666666667
1,2,13.9,20,40,60,4.528814412005898,3,4.55,6,4.95
2,5,15.454545454545455,11,18,81,4.334328158417707,4,4.818181818181818,4,4.818181818181818
5,4,13.428571428571429,21,76,23,3.055621064337764,4,4.380952380952381,4,4.761904761904762
5,6,16.77777777777778,9,22,77,3.0304075117866165,3,3.4444444444444446,4,5.111111111111111
5,2,13.5625,16,75,25,3.765485398982083,5,4.3125,4,5.5
