"2A","19","47","52","13.74","4","1","Control","5.17","-4.24"
"2A","19","47","52","13.74","4","1","Treatment","4.61","-5.32"
"2B","18","83","16","13.5","2","5","Control","4.65","-2.11"
"2B","16","75","25","13.56","2","5","Treatment","4.97","-3.39"
"2CDBil","10","90","10","13.4","4","5","Control","5.26","-7.53"
"2CDBil","21","76","23","13.43","4","5","Treatment","4.65","-5.07"
"2EF","21","23","76","14","2","1","Control","6.75","-2.26"
"2EF","20","40","60","13.9","2","1","Treatment","6.33","-1.58"
"2EFBil","22","59","40","13.36","3","3","Control","4.79","-6.12"
"2EFBil","23","56","43","13.3","3","3","Treatment","6.5","-5.11"
"3A","5","80","20","14.8","6","4","Control","6.05","-5.58"
"3A","6","83","16","15.17","6","4","Treatment","6","-8.97"
"3B","18","38","61","14.83","2","4","Control","5.17","-4.13"
"3B","18","44","55","14.78","2","4","Treatment","4.4","-2.21"
"3C","22","40","59","14.73","6","3","Control","5.13","0.42"
"3C","22","31","68","14.77","6","3","Treatment","4.37","4.27"
"3D","11","54","45","14.55","1","3","Control","4.68","-9.24"
"3D","11","54","45","14.64","1","3","Treatment","4.81","-9.93"
"3DIV","9","33","66","15.78","3","4","Control","6.26","-3.38"
"3DIV","12","50","50","16","3","4","Treatment","5.16","-0.85"
"4","16","18","81","15.75","5","3","Control","6.16","0.72"
"4","11","18","81","15.45","5","2","Treatment","6.11","-2.04"
"4DIV","12","58","41","16.92","6","1","Control","5.85","-0.05"
"4DIV","12","41","58","16.92","6","1","Treatment","5.41","2.2"
"BT1","8","37","62","16.63","6","5","Control","5.58","-3.24"
"BT1","9","22","77","16.78","6","5","Treatment","5.01","-5.13"
