"tag","aprendido"
"1","2015_3_16_10",5
"2","2015_3_16_13",4.8
"3","2015_3_16_9",4.83333333333333
"4","2015_3_17_11",4.7
"5","2015_3_17_12",5.5
"6","2015_3_17_9",5.05555555555556
"7","2015_4_20_11",4.52631578947368
"8","2015_4_20_13",4.83333333333333
"9","2015_4_20_9",4.71428571428571
"10","2015_4_22_10",4.81818181818182
"11","2015_4_22_13",3.18181818181818
"12","2015_4_22_8",5.18181818181818
"13","2015_4_28_12",4.8125
"14","2015_4_29_10",5
"15","2015_4_29_13",2.63636363636364
"16","2015_4_29_8",5.27272727272727
"17","2015_4_30_10",5.33333333333333
"18","2015_4_30_13",5.33333333333333
"19","2015_4_30_9",5.61111111111111
"20","2015_5_4_11",4.52631578947368
"21","2015_5_4_13",5.16666666666667
"22","2015_5_4_9",4.95
"23","2015_5_5_12",4.81818181818182
"24","2015_5_8_11",4.76190476190476
"25","2015_5_8_13",5.11111111111111
"26","2015_5_8_9",5.5
