"tag","volumen"
"1","2015_3_16_10",4
"2","2015_3_16_13",5
"3","2015_3_16_9",4.72222222222222
"4","2015_3_17_11",3
"5","2015_3_17_12",2.75
"6","2015_3_17_9",5.05555555555556
"7","2015_4_20_11",3.52631578947368
"8","2015_4_20_13",4.91666666666667
"9","2015_4_20_9",4.71428571428571
"10","2015_4_22_10",3.54545454545455
"11","2015_4_22_13",6.27272727272727
"12","2015_4_22_8",4.27272727272727
"13","2015_4_28_12",4.8125
"14","2015_4_29_10",3
"15","2015_4_29_13",6.22727272727273
"16","2015_4_29_8",3.18181818181818
"17","2015_4_30_10",3
"18","2015_4_30_13",2.66666666666667
"19","2015_4_30_9",3.94444444444444
"20","2015_5_4_11",4.47368421052632
"21","2015_5_4_13",5.08333333333333
"22","2015_5_4_9",4.55
"23","2015_5_5_12",4.81818181818182
"24","2015_5_8_11",4.38095238095238
"25","2015_5_8_13",3.44444444444444
"26","2015_5_8_9",4.3125
