tag,volumen,aprendido
"2015_3_16_10","3","6"
"2015_3_16_13","6","4"
"2015_3_16_9","2","5"
"2015_3_17_11","3","6"
"2015_3_17_12","4","6"
"2015_3_17_9","5","4"
"2015_4_20_11","4","5"
"2015_4_20_13","5","5"
"2015_4_20_9","5","4"
"2015_4_22_10","4","4"
"2015_4_22_13","5","3"
"2015_4_22_8","4","5"
"2015_4_28_12","4","5"
"2015_4_29_10","4","4"
"2015_4_29_13","5","4"
"2015_4_29_8","4","5"
"2015_4_30_10","2","6"
"2015_4_30_13","2","5"
"2015_4_30_9","3","5"
"2015_5_4_11","4","4"
"2015_5_4_13","4","4"
"2015_5_4_9","3","6"
"2015_5_5_12","4","4"
"2015_5_8_11","4","4"
"2015_5_8_13","3","4"
"2015_5_8_9","5","4"
