id;tag;diff_tea
1;2015_3_16_10;-0,77
2;2015_3_16_13;3,16
3;2015_3_16_9;-1,45
4;2015_3_17_11;0,99
5;2015_3_17_12;0,17
6;2015_3_17_9;0,7
7;2015_4_20_11;0,59
8;2015_4_20_13;-0,18
9;2015_4_20_9;0,76
10;2015_4_22_10;1,39
11;2015_4_22_13;-0,37
12;2015_4_22_8;2,71
13;2015_4_28_12;-1,5
14;2015_4_29_10;0,96
15;2015_4_29_13;-2
16;2015_4_29_8;3
17;2015_4_30_10;-2,84
18;2015_4_30_13;0,59
19;2015_4_30_9;-1,26
20;2015_5_4_11;1,05
21;2015_5_4_13;-2,13
22;2015_5_4_9;-1,53
23;2015_5_5_12;-0,33
24;2015_5_8_11;0,94
25;2015_5_8_13;-0,03
26;2015_5_8_9;1,23
