"tag","decibels"
"2015_3_16_10",-3.38203485238298
"2015_3_16_13",-5.58247916228952
"2015_3_16_9",-4.12829779228203
"2015_3_17_11",-7.53294922378648
"2015_3_17_12",-3.24496135365265
"2015_3_17_9",-2.11312580434436
"2015_4_20_11",-4.23606700731468
"2015_4_20_13",-0.049989847289011
"2015_4_20_9",-2.26476176124046
"2015_4_22_10",-6.12104608499282
"2015_4_22_13",0.422344433189484
"2015_4_22_8",-9.23846905018567
"2015_4_28_12",0.723823103435359
"2015_4_29_10",-5.11405090435893
"2015_4_29_13",4.26975558213516
"2015_4_29_8",-9.93448879798357
"2015_4_30_10",-0.849565984276846
"2015_4_30_13",-8.97231183085095
"2015_4_30_9",-2.21247735091511
"2015_5_4_11",-5.31737041761638
"2015_5_4_13",2.20427841955442
"2015_5_4_9",-1.58046551019195
"2015_5_5_12",-2.04088721029404
"2015_5_8_11",-5.06806513843445
"2015_5_8_13",-5.12775504719167
"2015_5_8_9",-3.38755076907019
