"tag","sddecibels"
"2015_3_16_10",6.2613487011356
"2015_3_16_13",6.04505483419575
"2015_3_16_9",5.1729504965505
"2015_3_17_11",5.25530853463009
"2015_3_17_12",5.58073111387254
"2015_3_17_9",4.64558028508331
"2015_4_20_11",5.16537192196231
"2015_4_20_13",5.846940849176
"2015_4_20_9",6.74902856531779
"2015_4_22_10",4.79247290974326
"2015_4_22_13",5.12918196040225
"2015_4_22_8",4.68182024572314
"2015_4_28_12",6.15790686056928
"2015_4_29_10",6.49620137054456
"2015_4_29_13",4.37109890818487
"2015_4_29_8",4.8119398125581
"2015_4_30_10",5.16274187749931
"2015_4_30_13",6.00458058759678
"2015_4_30_9",4.39660169498134
"2015_5_4_11",4.60933931611091
"2015_5_4_13",5.40807273102056
"2015_5_4_9",6.32757609914452
"2015_5_5_12",6.10814934162398
"2015_5_8_11",4.64830996554566
"2015_5_8_13",5.0132423103346
"2015_5_8_9",4.97485930728194
