aprendido;volumen;edad;sexo;utilidad;tag
5;5;14;F;;2015_4_20_9
7;4;13;M;;2015_4_20_9
4;6;13;M;;2015_4_20_9
4;3;14;M;;2015_4_20_9
5;4;14;M;;2015_4_20_9
3;5;16;M;;2015_4_20_9
5;4;13;M;;2015_4_20_9
4;4;13;F;;2015_4_20_9
4;4;15;M;;2015_4_20_9
4;5;13;M;;2015_4_20_9
6;5;14;M;;2015_4_20_9
5;4;13;M;;2015_4_20_9
4;4;15;F;;2015_4_20_9
7;5;14;M;;2015_4_20_9
4;7;14;M;;2015_4_20_9
4;4;14;M;;2015_4_20_9
5;5;14;M;;2015_4_20_9
5;6;15;M;;2015_4_20_9
2;5;14;M;;2015_4_20_9
6;5;14;F;;2015_4_20_9
6;5;15;F;;2015_4_20_9
