aprendido;volumen;edad;sexo;utilidad;tag
6;4;14;F;7;2015_5_8_11
5;4;14;F;6;2015_5_8_11
4;4;13;F;5;2015_5_8_11
4;4;14;F;5;2015_5_8_11
6;5;14;M;7;2015_5_8_11
6;4;14;M;7;2015_5_8_11
3;5;13;M;4;2015_5_8_11
7;3;13;M;7;2015_5_8_11
5;4;13;M;4;2015_5_8_11
4;5;13;F;4;2015_5_8_11
5;4;13;F;4;2015_5_8_11
6;3;14;F;6;2015_5_8_11
6;4;14;F;6;2015_5_8_11
4;5;13;F;4;2015_5_8_11
5;5;14;F;7;2015_5_8_11
4;5;13;F;1;2015_5_8_11
4;5;13;F;3;2015_5_8_11
4;5;13;F;3;2015_5_8_11
4;5;13;F;3;2015_5_8_11
4;4;14;F;6;2015_5_8_11
4;5;13;F;5;2015_5_8_11
