timestamp, decibels, decibels_avg, tag
"1431084711900","0.3189868932916173","-19.936202621341675","2015_5_8_13"
"1431084712979","4.923038812795403","-13.951594858782595","2015_5_8_13"
"1431084714006","13.541318885289584","-6.243331081724679","2015_5_8_13"
"1431084715052","3.209592941315943","-0.6014124934614905","2015_5_8_13"
"1431084716098","-0.8581462291744131","4.226958260703627","2015_5_8_13"
"1431084717170","13.395976361117086","6.842356154268721","2015_5_8_13"
"1431084718220","9.298838866141866","7.7175161649380115","2015_5_8_13"
"1431084719265","6.724746077826964","6.354201603445488","2015_5_8_13"
"1431084720320","2.8533500713746305","6.282953029457226","2015_5_8_13"
"1431084721363","6.9790709596232805","7.850396467216764","2015_5_8_13"
"1431084722412","1.9536281321356324","5.561926821420475","2015_5_8_13"
"1431084723465","-0.016099892724596363","3.6989390696471816","2015_5_8_13"
"1431084724517","-0.15580488852503574","2.322828876376782","2015_5_8_13"
"1431084725562","6.752882135695732","3.1027352892410027","2015_5_8_13"
"1431084726606","-2.4859162699537793","1.2097378433255905","2015_5_8_13"
"1431084728471","-9.248281663552895","-1.0306441158121153","2015_5_8_13"
"1431084729501","-10.018483387845745","-3.0311208148363447","2015_5_8_13"
"1431084730550","-13.328815590181977","-5.665722955167733","2015_5_8_13"
"1431084731599","-1.4191941885809691","-7.300138220023072","2015_5_8_13"
"1431084732656","-7.050891621202773","-8.213133290272872","2015_5_8_13"
"1431084733704","-9.173963437857527","-8.198269645133797","2015_5_8_13"
"1431084734765","-1.545106500231728","-6.503594267610995","2015_5_8_13"
"1431084735818","2.73910641872249","-3.290009865830102","2015_5_8_13"
"1431084736864","-4.367551588446383","-3.879681345803184","2015_5_8_13"
"1431084737935","-2.5073576277636516","-2.97097454711536","2015_5_8_13"
"1431084738985","-4.136614031058032","-1.9635046657554611","2015_5_8_13"
"1431084740032","-7.241315040869161","-3.102746373882947","2015_5_8_13"
"1431084741079","-9.23895703610012","-5.4983590648474685","2015_5_8_13"
"1431084742121","-12.892246840268522","-7.203298115211898","2015_5_8_13"
"1431084743158","-1.9785060848676397","-7.097527806632695","2015_5_8_13"
"1431084744203","-4.973277216458895","-7.264860443712867","2015_5_8_13"
"1431084745253","-4.792667415922619","-6.775130918723559","2015_5_8_13"
"1431084746299","-8.055850229328993","-6.538509557369333","2015_5_8_13"
"1431084747336","-6.558042841285651","-5.27166875757276","2015_5_8_13"
"1431084748384","-0.3646342744823055","-4.948894395495693","2015_5_8_13"
"1431084749433","0.6863289487858129","-3.816973162446751","2015_5_8_13"
"1431084750484","-2.2368263018706656","-3.30580493963636","2015_5_8_13"
"1431084751537","-1.5374232713910168","-2.0021195480487655","2015_5_8_13"
"1431084752566","-1.8701067023578597","-1.064532320263207","2015_5_8_13"
"1431084753622","-4.93344666682777","-1.9782947987322999","2015_5_8_13"
"1431084754666","-2.615365605380476","-2.638633709565558","2015_5_8_13"
"1431084755707","-2.733542797590882","-2.737977008709601","2015_5_8_13"
"1431084756788","-6.117649969167865","-3.654022348264971","2015_5_8_13"
"1431084757832","-2.413409036312534","-3.7626828150559057","2015_5_8_13"
"1431084758864","-5.399915238480247","-3.855976529386401","2015_5_8_13"
"1431084759915","-4.325103662117883","-4.197924140733882","2015_5_8_13"
