timestamp, decibels, decibels_avg, tag
"1429684489491","-1.9583297932447379","-20.391665958648947","2015_4_22_8"
"1429684490594","-1.0411649281681055","-15.599898944282568","2015_4_22_8"
"1429684491648","1.0301963889953292","-10.393859666483504","2015_4_22_8"
"1429684492672","-2.1746210493352782","-5.828783876350558","2015_4_22_8"
"1429684493727","3.0593492041708705","-0.21691403551638438","2015_4_22_8"
"1429684494774","5.537742488647806","1.2823004208621245","2015_4_22_8"
"1429684495825","-6.281849370064462","0.23416353248285318","2015_4_22_8"
"1429684496867","-2.4944864626945136","-0.47077303785511526","2015_4_22_8"
"1429684497907","-11.951587790050166","-2.426166385998093","2015_4_22_8"
"1429684498954","-6.039923368720034","-4.246020900576274","2015_4_22_8"
"1429684500008","-6.26198076139016","-6.605965550583868","2015_4_22_8"
"1429684501057","-6.8787461424540375","-6.725344905061782","2015_4_22_8"
"1429684501964","-8.97280752980884","-8.021009118484645","2015_4_22_8"
"1429684503017","-10.68573521899134","-7.767838604272882","2015_4_22_8"
"1429684504064","-12.43608099047439","-9.047070128623753","2015_4_22_8"
"1429684505116","-3.53631374100027","-8.501936724545775","2015_4_22_8"
"1429684506164","-0.904433104563377","-7.307074116967643","2015_4_22_8"
"1429684507221","-4.12626136041877","-6.337764883089629","2015_4_22_8"
"1429684508261","-7.285858162272342","-5.657789471745829","2015_4_22_8"
"1429684509298","-10.235254807497526","-5.217624235150457","2015_4_22_8"
"1429684510345","-3.8513040289014056","-5.280622292730684","2015_4_22_8"
"1429684511389","-6.779881290597334","-6.455711929937476","2015_4_22_8"
"1429684512467","6.879107153409806","-4.25463822717176","2015_4_22_8"
"1429684513516","-6.3283869689280525","-4.063143988502903","2015_4_22_8"
"1429684514566","-6.993129881232763","-3.4147190032499495","2015_4_22_8"
"1429684515621","1.8137807341967047","-2.281702050630328","2015_4_22_8"
"1429684516665","-1.9704299432927155","-1.319811781169404","2015_4_22_8"
"1429684517705","-2.7071418969063004","-3.2370615912326257","2015_4_22_8"
"1429684518757","-0.5580012562733959","-2.0829844487016937","2015_4_22_8"
"1429684519799","-4.146979055722465","-1.5137542835996343","2015_4_22_8"
"1429684520841","-10.619932710050339","-4.000496972449044","2015_4_22_8"
"1429684521896","-0.45569277500639627","-3.6975495387917787","2015_4_22_8"
"1429684522948","2.043081957159603","-2.7475047679785987","2015_4_22_8"
"1429684523995","5.553033056262598","-1.5252979054713998","2015_4_22_8"
"1429684525043","-6.758841579935044","-2.0476704103139154","2015_4_22_8"
"1429684526085","-0.05809981286814445","0.06469616912252327","2015_4_22_8"
"1429684527127","1.12680198009478","0.38119512014275825","2015_4_22_8"
"1429684528168","-3.340365142177897","-0.6954942997247414","2015_4_22_8"
"1429684529214","-0.1492569126114124","-1.8359522934995436","2015_4_22_8"
"1429684530257","-3.038499517439337","-1.0918838810004021","2015_4_22_8"
"1429684531308","0.6446127605602581","-0.9513413663147217","2015_4_22_8"
"1429684532358","5.605495481467235","-0.05560266604023063","2015_4_22_8"
"1429684533433","1.3719620287440593","0.8868627681441605","2015_4_22_8"
"1429684534481","0.8832430176058677","1.0933627541876167","2015_4_22_8"
