aprendido;volumen;edad;sexo;utilidad;tag
4;3;14;F;;2015_4_29_10
5;3;13;F;;2015_4_29_10
4;2;13;F;;2015_4_29_10
4;2;13;F;;2015_4_29_10
6;2;13;F;;2015_4_29_10
6;5;13;M;;2015_4_29_10
6;3;13;M;;2015_4_29_10
5;3;13;M;;2015_4_29_10
6;2;13;M;;2015_4_29_10
6;3;13;M;;2015_4_29_10
4;2;13;F;;2015_4_29_10
4;2;14;M;;2015_4_29_10
4;3;13;M;;2015_4_29_10
6;3;13;F;;2015_4_29_10
5;3;13;F;;2015_4_29_10
5;4;14;M;;2015_4_29_10
5;4;14;M;;2015_4_29_10
6;3;14;M;;2015_4_29_10
5;3;14;F;;2015_4_29_10
4;3;13;F;;2015_4_29_10
5;4;13;F;;2015_4_29_10
5;3;14;F;;2015_4_29_10
5;4;13;F;;2015_4_29_10
