aprendido;volumen;edad;sexo;utilidad;tag
4;5;15;F;4;2015_4_22_13
5;7;14;M;5;2015_4_22_13
2;7;14;M;1;2015_4_22_13
1;7;15;M;3;2015_4_22_13
5;6;15;F;5;2015_4_22_13
2;5;16;F;3;2015_4_22_13
4;6;15;F;4;2015_4_22_13
4;7;14;M;7;2015_4_22_13
6;7;15;M;1;2015_4_22_13
5;5;15;M;5;2015_4_22_13
4;6;16;M;1;2015_4_22_13
1;7;14;M;1;2015_4_22_13
2;6;15;M;2;2015_4_22_13
6;6;15;F;6;2015_4_22_13
1;6;15;F;2;2015_4_22_13
1;6;15;M;4;2015_4_22_13
1;6;15;F;2;2015_4_22_13
4;7;15;M;1;2015_4_22_13
4;7;14;F;1;2015_4_22_13
3;7;14;F;7;2015_4_22_13
3;6;14;M;2;2015_4_22_13
2;6;14;M;4;2015_4_22_13
