"2A","Control","L","AC"
"2A","Treatment","L","AC"
"2B","Control","W","AC"
"2B","Treatment","W","AC"
"2CDBil","Control","L","AC"
"2CDBil","Treatment","L","AC"
"2EF","Control","L","BR"
"2EF","Treatment","L","BR"
"2EFBil","Control","L","AC"
"2EFBil","Treatment","L","AC"
"3A","Control","C","BT"
"3A","Treatment","C","BT"
"3B","Control","L","AS"
"3B","Treatment","L","AS"
"3C","Control","L","AS"
"3C","Treatment","L","AS"
"3D","Control","C","AC"
"3D","Treatment","C","AC"
"3DIV","Control","L","BR"
"3DIV","Treatment","L","BR"
"4","Control","C","AS"
"4","Treatment","WC","AS"
"4DIV","Control","W","BR"
"4DIV","Treatment","W","BR"
"BT1","Control","L","AC"
"BT1","Treatment","L","AC"
