grupo;tag;tratamiento;nom;nps;npt;NOISE;lps;lpt;PERFORMANCE
2A;2015_4_20_11;Control;3.41;3.53;4;3.64;4.53;5;4.76
2A;2015_5_4_11;Experimental;2.95;4.47;4;3.81;4.53;4;4.26
2B;2015_3_17_9;Control;4.3;5.06;5;4.79;5.06;4;4.53
2B;2015_5_8_9;Experimental;3.77;4.31;5;4.36;5.5;4;4.75
2CDBil;2015_3_17_11;Control;2.01;3;3;2.67;4.7;6;5.35
2CDBil;2015_5_8_11;Experimental;3.06;4.38;4;3.81;4.76;4;4.38
2EF;2015_4_20_9;Control;4.24;4.71;5;4.65;4.71;4;4.36
2EF;2015_5_4_9;Experimental;4.53;4.55;3;4.03;4.95;6;5.48
2EFBil;2015_4_22_10;Control;2.61;3.55;4;3.39;4.82;4;4.41
2EFBil;2015_4_29_10;Experimental;3.04;3;4;3.35;5;4;4.5
3A;2015_3_16_13;Control;2.84;5;6;4.61;4.8;4;4.4
3A;2015_4_30_13;Experimental;1.41;2.67;2;2.02;5.33;5;5.17
3B;2015_3_16_9;Control;3.45;4.72;2;3.39;4.83;5;4.92
3B;2015_4_30_9;Experimental;4.26;3.94;3;3.74;5.61;5;5.31
3C;2015_4_22_13;Control;5.37;6.27;5;5.55;3.18;3;3.09
3C;2015_4_29_13;Experimental;7;6.23;5;6.08;2.64;4;3.32
3D;2015_4_22_8;Control;1.29;4.27;4;3.19;5.18;5;5.09
3D;2015_4_29_8;Experimental;1;3.18;4;2.73;5.27;5;5.14
3DIV;2015_3_16_10;Control;3.77;4;3;3.59;5;6;5.5
3DIV;2015_4_30_10;Experimental;4.84;3;2;3.28;5.33;6;5.67
4;2015_4_28_12;Control;5.5;4.81;4;4.77;4.81;5;4.91
4;2015_5_5_12;Experimental;4.33;4.82;4;4.38;4.82;4;4.41
4DIV;2015_4_20_13;Control;5.18;4.92;5;5.03;4.83;5;4.92
4DIV;2015_5_4_13;Experimental;6.13;5.08;4;5.07;5.17;4;4.58
BT1;2015_3_17_12;Control;3.83;2.75;4;3.53;5.5;6;5.75
BT1;2015_5_8_13;Experimental;3.03;3.44;3;3.16;5.11;4;4.56
