tratamiento;NOISE;PERFORMANCE
Control;3.59;5.5
Control;4.61;4.4
Control;3.39;4.92
Control;2.67;5.35
Control;3.53;5.75
Control;4.79;4.53
Control;3.64;4.76
Control;5.03;4.92
Control;4.65;4.36
Control;3.39;4.41
Control;5.55;3.09
Control;3.19;5.09
Control;4.77;4.91
Experimental;3.35;4.5
Experimental;6.08;3.32
Experimental;2.73;5.14
Experimental;3.28;5.67
Experimental;2.02;5.17
Experimental;3.74;5.31
Experimental;3.81;4.26
Experimental;5.07;4.58
Experimental;4.03;5.48
Experimental;4.38;4.41
Experimental;3.81;4.38
Experimental;3.16;4.56
Experimental;4.36;4.75
