grupo;tag;tratamiento;nom;nps;npt;NOISE;lps;lpt;PERFORMANCE
2CDBil;2015_3_17_11;Control;2.01;3;3;2.67;4.7;6;5.35
2CDBil;2015_5_8_11;Experimental;3.06;4.38;4;3.81;4.76;4;4.38
2EF;2015_4_20_9;Control;4.24;4.71;5;4.65;4.71;4;4.36
2EF;2015_5_4_9;Experimental;4.53;4.55;3;4.03;4.95;6;5.48
3B;2015_3_16_9;Control;3.45;4.72;2;3.39;4.83;5;4.92
3B;2015_4_30_9;Experimental;4.26;3.94;3;3.74;5.61;5;5.31
3C;2015_4_22_13;Control;5.37;6.27;5;5.55;3.18;3;3.09
3C;2015_4_29_13;Experimental;7;6.23;5;6.08;2.64;4;3.32
3DIV;2015_3_16_10;Control;3.77;4;3;3.59;5;6;5.5
3DIV;2015_4_30_10;Experimental;4.84;3;2;3.28;5.33;6;5.67
4DIV;2015_4_20_13;Control;5.18;4.92;5;5.03;4.83;5;4.92
4DIV;2015_5_4_13;Experimental;6.13;5.08;4;5.07;5.17;4;4.58
