tag;aprendido;volumen; utilidad;tratamiento
2015_3_16_10;6;3;;Control
2015_3_16_13;4;6;;Control
2015_3_16_9;5;2;;Control
2015_3_17_11;6;3;;Control
2015_3_17_12;6;4;;Control
2015_3_17_9;4;5;;Control
2015_4_20_11;5;4;;Control
2015_4_20_13;5;5;;Control
2015_4_20_9;4;5;;Control
2015_4_22_10;4;4;;Control
2015_4_22_13;3;5;;Control
2015_4_22_8;5;4;;Control
2015_4_28_12;5;4;;Control
2015_4_29_10;4;4;6;Treatment
2015_4_29_13;4;5;3;Treatment
2015_4_29_8;5;4;6;Treatment
2015_4_30_10;6;2;5;Treatment
2015_4_30_13;5;2;5;Treatment
2015_4_30_9;5;3;5;Treatment
2015_5_4_11;4;4;6;Treatment
2015_5_4_13;4;4;2;Treatment
2015_5_4_9;6;3;5;Treatment
2015_5_5_12;4;4;5;Treatment
2015_5_8_11;4;4;6;Treatment
2015_5_8_13;4;3;6;Treatment
2015_5_8_9;4;5;5;Treatment
