sensor;timestamp;timestamp_str;temperature;hora
0972JSD_2;1523311270;10/04/2018 0:01;10.00;0
0972JSD_3;1523311276;10/04/2018 0:01;10.00;0
0972JSD_4;1523311582;10/04/2018 0:06;10.00;0
0972JSD_1;1523311692;10/04/2018 0:08;9.67;0
0972JSD_3;1523312176;10/04/2018 0:16;9.67;0
0972JSD_2;1523312177;10/04/2018 0:16;9.67;0
0972JSD_4;1523312496;10/04/2018 0:21;9.67;0
0972JSD_1;1523312592;10/04/2018 0:23;9.67;0
0972JSD_2;1523313077;10/04/2018 0:31;9.67;0
0972JSD_3;1523313125;10/04/2018 0:32;9.67;0
0972JSD_4;1523313396;10/04/2018 0:36;9.67;0
0972JSD_1;1523313439;10/04/2018 0:37;9.33;0
0972JSD_2;1523313983;10/04/2018 0:46;9.33;0
0972JSD_3;1523314025;10/04/2018 0:47;9.33;0
0972JSD_4;1523314310;10/04/2018 0:51;9.33;0
0972JSD_1;1523314339;10/04/2018 0:52;9.33;0
0972JSD_2;1523314883;10/04/2018 1:01;9.33;1
0972JSD_3;1523315003;10/04/2018 1:03;9.33;1
0972JSD_4;1523315210;10/04/2018 1:06;9.33;1
0972JSD_1;1523315214;10/04/2018 1:06;9.00;1
0972JSD_2;1523315818;10/04/2018 1:16;9.00;1
0972JSD_3;1523315903;10/04/2018 1:18;9.00;1
0972JSD_1;1523316114;10/04/2018 1:21;9.00;1
0972JSD_4;1523316121;10/04/2018 1:22;9.00;1
0972JSD_2;1523316718;10/04/2018 1:31;8.67;1
0972JSD_3;1523316849;10/04/2018 1:34;9.00;1
0972JSD_1;1523316959;10/04/2018 1:35;8.67;1
0972JSD_4;1523317021;10/04/2018 1:37;9.00;1
0972JSD_2;1523317620;10/04/2018 1:47;8.67;1
0972JSD_3;1523317749;10/04/2018 1:49;8.67;1
0972JSD_1;1523317859;10/04/2018 1:50;8.67;1
0972JSD_4;1523317963;10/04/2018 1:52;8.67;1
0972JSD_2;1523318520;10/04/2018 2:02;8.67;2
0972JSD_3;1523318695;10/04/2018 2:04;8.67;2
0972JSD_1;1523318703;10/04/2018 2:05;8.67;2
0972JSD_4;1523318863;10/04/2018 2:07;8.67;2
0972JSD_2;1523319422;10/04/2018 2:17;8.33;2
0972JSD_3;1523319595;10/04/2018 2:19;8.33;2
0972JSD_1;1523319603;10/04/2018 2:20;8.33;2
0972JSD_4;1523319772;10/04/2018 2:22;8.33;2
0972JSD_2;1523320322;10/04/2018 2:32;8.33;2
0972JSD_1;1523320447;10/04/2018 2:34;8.33;2
0972JSD_3;1523320539;10/04/2018 2:35;8.33;2
0972JSD_4;1523320672;10/04/2018 2:37;8.33;2
0972JSD_2;1523321223;10/04/2018 2:47;8.33;2
0972JSD_1;1523321347;10/04/2018 2:49;8.33;2
0972JSD_3;1523321439;10/04/2018 2:50;8.33;2
