sensor;fecha;temperatura;tipo_temperatura;day;month;year;hour;minutes;time;total_minutos;diferencia
5077JTJ_2;05/02/2018 0:28;16;FRIO POSITIVO;5;2;2018;0;28;0:28;28;15
5077JTJ_2;05/02/2018 0:43;17;FRIO POSITIVO;5;2;2018;0;43;0:43;43;15
5077JTJ_2;05/02/2018 0:58;17;FRIO POSITIVO;5;2;2018;0;58;0:58;58;15
5077JTJ_2;05/02/2018 1:13;17;FRIO POSITIVO;5;2;2018;1;13;1:13;73;15
5077JTJ_2;05/02/2018 1:26;16;FRIO POSITIVO;5;2;2018;1;26;1:26;86;13
5077JTJ_2;05/02/2018 1:41;16;FRIO POSITIVO;5;2;2018;1;41;1:41;101;15
5077JTJ_2;05/02/2018 1:56;16;FRIO POSITIVO;5;2;2018;1;56;1:56;116;15
5077JTJ_2;05/02/2018 2:11;16;FRIO POSITIVO;5;2;2018;2;11;2:11;131;15
5077JTJ_2;05/02/2018 2:25;16;FRIO POSITIVO;5;2;2018;2;25;2:25;145;14
5077JTJ_2;05/02/2018 2:40;16;FRIO POSITIVO;5;2;2018;2;40;2:40;160;15
5077JTJ_2;05/02/2018 2:55;16;FRIO POSITIVO;5;2;2018;2;55;2:55;175;15
5077JTJ_2;05/02/2018 3:10;16;FRIO POSITIVO;5;2;2018;3;10;3:10;190;15
5077JTJ_2;05/02/2018 3:24;16;FRIO POSITIVO;5;2;2018;3;24;3:24;204;14
5077JTJ_2;05/02/2018 3:39;16;FRIO POSITIVO;5;2;2018;3;39;3:39;219;15
5077JTJ_2;05/02/2018 3:54;16;FRIO POSITIVO;5;2;2018;3;54;3:54;234;15
5077JTJ_2;05/02/2018 4:09;16;FRIO POSITIVO;5;2;2018;4;9;4:09;249;15
5077JTJ_2;05/02/2018 4:23;16;FRIO POSITIVO;5;2;2018;4;23;4:23;263;14
5077JTJ_2;05/02/2018 4:38;16;FRIO POSITIVO;5;2;2018;4;38;4:38;278;15
5077JTJ_2;05/02/2018 4:53;16;FRIO POSITIVO;5;2;2018;4;53;4:53;293;15
5077JTJ_2;05/02/2018 5:08;16;FRIO POSITIVO;5;2;2018;5;8;5:08;308;15
5077JTJ_2;05/02/2018 5:22;16;FRIO POSITIVO;5;2;2018;5;22;5:22;322;14
5077JTJ_2;05/02/2018 5:37;16;FRIO POSITIVO;5;2;2018;5;37;5:37;337;15
5077JTJ_2;05/02/2018 5:52;16;FRIO POSITIVO;5;2;2018;5;52;5:52;352;15
5077JTJ_2;05/02/2018 6:07;16;FRIO POSITIVO;5;2;2018;6;7;6:07;367;15
5077JTJ_2;05/02/2018 6:21;16;FRIO POSITIVO;5;2;2018;6;21;6:21;381;14
5077JTJ_2;05/02/2018 6:36;16;FRIO POSITIVO;5;2;2018;6;36;6:36;396;15
5077JTJ_2;05/02/2018 6:51;16;FRIO POSITIVO;5;2;2018;6;51;6:51;411;15
5077JTJ_2;05/02/2018 7:06;16;FRIO POSITIVO;5;2;2018;7;6;7:06;426;15
5077JTJ_2;05/02/2018 7:20;16;FRIO POSITIVO;5;2;2018;7;20;7:20;440;14
5077JTJ_2;05/02/2018 7:35;16;FRIO POSITIVO;5;2;2018;7;35;7:35;455;15
5077JTJ_2;05/02/2018 7:50;16;FRIO POSITIVO;5;2;2018;7;50;7:50;470;15
5077JTJ_2;05/02/2018 8:05;16;FRIO POSITIVO;5;2;2018;8;5;8:05;485;15
5077JTJ_2;05/02/2018 9:23;21;FRIO POSITIVO;5;2;2018;9;23;9:23;563;78
5077JTJ_2;05/02/2018 9:38;21;FRIO POSITIVO;5;2;2018;9;38;9:38;578;15
5077JTJ_2;05/02/2018 9:53;20;FRIO POSITIVO;5;2;2018;9;53;9:53;593;15
5077JTJ_2;05/02/2018 10:08;20;FRIO POSITIVO;5;2;2018;10;8;10:08;608;15
5077JTJ_2;05/02/2018 10:23;21;FRIO POSITIVO;5;2;2018;10;23;10:23;623;15
5077JTJ_2;05/02/2018 10:38;21;FRIO POSITIVO;5;2;2018;10;38;10:38;638;15
5077JTJ_2;05/02/2018 10:53;21;FRIO POSITIVO;5;2;2018;10;53;10:53;653;15
5077JTJ_2;05/02/2018 11:08;21;FRIO POSITIVO;5;2;2018;11;8;11:08;668;15
5077JTJ_2;05/02/2018 11:23;22;FRIO POSITIVO;5;2;2018;11;23;11:23;683;15
5077JTJ_2;05/02/2018 11:38;22;FRIO POSITIVO;5;2;2018;11;38;11:38;698;15
5077JTJ_2;05/02/2018 11:53;22;FRIO POSITIVO;5;2;2018;11;53;11:53;713;15
5077JTJ_2;05/02/2018 12:08;22;FRIO POSITIVO;5;2;2018;12;8;12:08;728;15
5077JTJ_2;05/02/2018 12:22;22;FRIO POSITIVO;5;2;2018;12;22;12:22;742;14
5077JTJ_2;05/02/2018 12:37;22;FRIO POSITIVO;5;2;2018;12;37;12:37;757;15
5077JTJ_2;05/02/2018 12:52;22;FRIO POSITIVO;5;2;2018;12;52;12:52;772;15
5077JTJ_2;05/02/2018 13:07;22;FRIO POSITIVO;5;2;2018;13;7;13:07;787;15
5077JTJ_2;05/02/2018 13:22;22;FRIO POSITIVO;5;2;2018;13;22;13:22;802;15
