sensor;timestamp;timestamp_str;temperature
5077JTJ_1;1523397617;11/04/2018 0:00;19.67
5077JTJ_2;1523397702;11/04/2018 0:01;19.67
5077JTJ_3;1523397971;11/04/2018 0:06;19.67
5077JTJ_4;1523398185;11/04/2018 0:09;19.67
5077JTJ_1;1523398534;11/04/2018 0:15;19.67
5077JTJ_2;1523398590;11/04/2018 0:16;19.67
5077JTJ_3;1523398889;11/04/2018 0:21;19.67
5077JTJ_4;1523398978;11/04/2018 0:22;19.67
5077JTJ_1;1523399434;11/04/2018 0:30;19.33
5077JTJ_2;1523399490;11/04/2018 0:31;19.67
5077JTJ_3;1523399789;11/04/2018 0:36;20.00
5077JTJ_4;1523399878;11/04/2018 0:37;20.33
5077JTJ_1;1523400354;11/04/2018 0:45;20.33
5077JTJ_2;1523400385;11/04/2018 0:46;20.33
5077JTJ_4;1523400674;11/04/2018 0:51;20.67
5077JTJ_3;1523400710;11/04/2018 0:51;20.67
5077JTJ_1;1523401254;11/04/2018 1:00;20.67
5077JTJ_2;1523401285;11/04/2018 1:01;20.67
5077JTJ_4;1523401574;11/04/2018 1:06;21.00
5077JTJ_3;1523401610;11/04/2018 1:06;21.00
5077JTJ_1;1523402178;11/04/2018 1:16;21.00
5077JTJ_2;1523402181;11/04/2018 1:16;21.00
5077JTJ_4;1523402372;11/04/2018 1:19;21.33
5077JTJ_3;1523402537;11/04/2018 1:22;21.67
5077JTJ_1;1523403078;11/04/2018 1:31;21.67
5077JTJ_2;1523403081;11/04/2018 1:31;21.67
5077JTJ_4;1523403272;11/04/2018 1:34;21.67
5077JTJ_3;1523403437;11/04/2018 1:37;22.00
5077JTJ_2;1523403980;11/04/2018 1:46;21.33
5077JTJ_1;1523404004;11/04/2018 1:46;21.33
5077JTJ_4;1523404071;11/04/2018 1:47;21.33
5077JTJ_3;1523404364;11/04/2018 1:52;22.00
5077JTJ_2;1523404880;11/04/2018 2:01;21.00
5077JTJ_1;1523404904;11/04/2018 2:01;21.00
5077JTJ_4;1523404971;11/04/2018 2:02;21.00
5077JTJ_3;1523405264;11/04/2018 2:07;21.67
5077JTJ_4;1523405768;11/04/2018 2:16;21.33
5077JTJ_2;1523405777;11/04/2018 2:16;21.00
5077JTJ_1;1523405828;11/04/2018 2:17;21.00
5077JTJ_3;1523406191;11/04/2018 2:23;21.67
5077JTJ_4;1523406668;11/04/2018 2:31;21.33
5077JTJ_2;1523406677;11/04/2018 2:31;21.00
5077JTJ_1;1523406728;11/04/2018 2:32;21.00
5077JTJ_3;1523407091;11/04/2018 2:38;21.33
5077JTJ_4;1523407467;11/04/2018 2:44;21.00
5077JTJ_2;1523407574;11/04/2018 2:46;20.67
5077JTJ_1;1523407650;11/04/2018 2:47;20.67
5077JTJ_3;1523408017;11/04/2018 2:53;21.33
5077JTJ_4;1523408367;11/04/2018 2:59;20.67
5077JTJ_2;1523408474;11/04/2018 3:01;20.67
5077JTJ_1;1523408550;11/04/2018 3:02;20.67
5077JTJ_3;1523408917;11/04/2018 3:08;21.00
5077JTJ_4;1523409163;11/04/2018 3:12;20.67
5077JTJ_2;1523409370;11/04/2018 3:16;20.67
5077JTJ_1;1523409471;11/04/2018 3:17;20.33
5077JTJ_3;1523409840;11/04/2018 3:24;21.00
5077JTJ_4;1523410063;11/04/2018 3:27;21.00
5077JTJ_2;1523410270;11/04/2018 3:31;20.67
5077JTJ_1;1523410371;11/04/2018 3:32;20.33
5077JTJ_3;1523410740;11/04/2018 3:39;21.00
5077JTJ_4;1523410861;11/04/2018 3:41;21.00
5077JTJ_2;1523411165;11/04/2018 3:46;20.33
