sensor;timestamp;timestamp_str;temperature
0972JSD_1;1523916136;17/04/2018 0:02;20.00
0972JSD_3;1523916294;17/04/2018 0:04;20.33
0972JSD_4;1523916343;17/04/2018 0:05;20.33
0972JSD_2;1523916893;17/04/2018 0:14;19.67
0972JSD_1;1523916953;17/04/2018 0:15;20.00
0972JSD_3;1523917214;17/04/2018 0:20;20.33
0972JSD_4;1523917231;17/04/2018 0:20;20.33
0972JSD_2;1523917768;17/04/2018 0:29;19.67
0972JSD_1;1523917853;17/04/2018 0:30;20.00
0972JSD_3;1523918114;17/04/2018 0:35;20.00
0972JSD_4;1523918131;17/04/2018 0:35;20.00
0972JSD_2;1523918668;17/04/2018 0:44;19.33
0972JSD_1;1523918671;17/04/2018 0:44;19.67
0972JSD_4;1523919018;17/04/2018 0:50;20.00
0972JSD_3;1523919032;17/04/2018 0:50;20.00
0972JSD_2;1523919542;17/04/2018 0:59;19.33
0972JSD_1;1523919571;17/04/2018 0:59;19.67
0972JSD_4;1523919918;17/04/2018 1:05;19.67
0972JSD_3;1523919932;17/04/2018 1:05;20.00
0972JSD_1;1523920387;17/04/2018 1:13;19.67
0972JSD_2;1523920442;17/04/2018 1:14;19.33
0972JSD_4;1523920805;17/04/2018 1:20;19.67
0972JSD_3;1523920849;17/04/2018 1:20;19.67
0972JSD_1;1523921287;17/04/2018 1:28;19.67
0972JSD_2;1523921314;17/04/2018 1:28;19.00
0972JSD_4;1523921705;17/04/2018 1:35;19.67
0972JSD_3;1523921749;17/04/2018 1:35;19.67
0972JSD_1;1523922101;17/04/2018 1:41;19.33
0972JSD_2;1523922214;17/04/2018 1:43;19.00
0972JSD_4;1523922589;17/04/2018 1:49;19.33
0972JSD_3;1523922665;17/04/2018 1:51;19.67
0972JSD_1;1523923001;17/04/2018 1:56;19.33
0972JSD_2;1523923085;17/04/2018 1:58;19.00
0972JSD_4;1523923489;17/04/2018 2:04;19.33
0972JSD_3;1523923565;17/04/2018 2:06;19.33
0972JSD_1;1523923816;17/04/2018 2:10;19.33
