sensor;fecha;temperatura;tipo_temperatura;day;month;year;hour;minutes;time;total_minutos
5077JTJ_2;05/02/2018 0:28;16;FRIO POSITIVO;5;2;2018;0;28;0:28;28
5077JTJ_1;05/02/2018 0:36;19;FRIO POSITIVO;5;2;2018;0;36;0:36;36
5077JTJ_2;05/02/2018 0:43;17;FRIO POSITIVO;5;2;2018;0;43;0:43;43
5077JTJ_1;05/02/2018 0:51;19;FRIO POSITIVO;5;2;2018;0;51;0:51;51
5077JTJ_2;05/02/2018 0:58;17;FRIO POSITIVO;5;2;2018;0;58;0:58;58
5077JTJ_1;05/02/2018 1:06;19;FRIO POSITIVO;5;2;2018;1;6;1:06;66
5077JTJ_4;05/02/2018 1:08;19;CONGELADO;5;2;2018;1;8;1:08;68
5077JTJ_2;05/02/2018 1:13;17;FRIO POSITIVO;5;2;2018;1;13;1:13;73
5077JTJ_1;05/02/2018 1:21;19;FRIO POSITIVO;5;2;2018;1;21;1:21;81
5077JTJ_4;05/02/2018 1:23;19;CONGELADO;5;2;2018;1;23;1:23;83
5077JTJ_2;05/02/2018 1:26;16;FRIO POSITIVO;5;2;2018;1;26;1:26;86
5077JTJ_4;05/02/2018 1:38;19;CONGELADO;5;2;2018;1;38;1:38;98
5077JTJ_2;05/02/2018 1:41;16;FRIO POSITIVO;5;2;2018;1;41;1:41;101
5077JTJ_4;05/02/2018 1:53;19;CONGELADO;5;2;2018;1;53;1:53;113
5077JTJ_2;05/02/2018 1:56;16;FRIO POSITIVO;5;2;2018;1;56;1:56;116
5077JTJ_2;05/02/2018 2:11;16;FRIO POSITIVO;5;2;2018;2;11;2:11;131
5077JTJ_3;05/02/2018 2:18;-4;CONGELADO;5;2;2018;2;18;2:18;138
5077JTJ_2;05/02/2018 2:25;16;FRIO POSITIVO;5;2;2018;2;25;2:25;145
5077JTJ_3;05/02/2018 2:33;-4;CONGELADO;5;2;2018;2;33;2:33;153
5077JTJ_2;05/02/2018 2:40;16;FRIO POSITIVO;5;2;2018;2;40;2:40;160
5077JTJ_3;05/02/2018 2:48;-5;CONGELADO;5;2;2018;2;48;2:48;168
5077JTJ_2;05/02/2018 2:55;16;FRIO POSITIVO;5;2;2018;2;55;2:55;175
5077JTJ_3;05/02/2018 3:03;-6;CONGELADO;5;2;2018;3;3;3:03;183
5077JTJ_2;05/02/2018 3:10;16;FRIO POSITIVO;5;2;2018;3;10;3:10;190
5077JTJ_2;05/02/2018 3:24;16;FRIO POSITIVO;5;2;2018;3;24;3:24;204
5077JTJ_2;05/02/2018 3:39;16;FRIO POSITIVO;5;2;2018;3;39;3:39;219
5077JTJ_2;05/02/2018 3:54;16;FRIO POSITIVO;5;2;2018;3;54;3:54;234
5077JTJ_2;05/02/2018 4:09;16;FRIO POSITIVO;5;2;2018;4;9;4:09;249
5077JTJ_1;05/02/2018 4:18;5;FRIO POSITIVO;5;2;2018;4;18;4:18;258
5077JTJ_2;05/02/2018 4:23;16;FRIO POSITIVO;5;2;2018;4;23;4:23;263
5077JTJ_1;05/02/2018 4:33;5;FRIO POSITIVO;5;2;2018;4;33;4:33;273
5077JTJ_2;05/02/2018 4:38;16;FRIO POSITIVO;5;2;2018;4;38;4:38;278
5077JTJ_3;05/02/2018 4:42;-4;CONGELADO;5;2;2018;4;42;4:42;282
5077JTJ_1;05/02/2018 4:48;5;FRIO POSITIVO;5;2;2018;4;48;4:48;288
5077JTJ_2;05/02/2018 4:53;16;FRIO POSITIVO;5;2;2018;4;53;4:53;293
5077JTJ_3;05/02/2018 4:57;-4;CONGELADO;5;2;2018;4;57;4:57;297
5077JTJ_1;05/02/2018 5:03;5;FRIO POSITIVO;5;2;2018;5;3;5:03;303
5077JTJ_2;05/02/2018 5:08;16;FRIO POSITIVO;5;2;2018;5;8;5:08;308
5077JTJ_3;05/02/2018 5:12;-5;CONGELADO;5;2;2018;5;12;5:12;312
5077JTJ_2;05/02/2018 5:22;16;FRIO POSITIVO;5;2;2018;5;22;5:22;322
5077JTJ_3;05/02/2018 5:27;-6;CONGELADO;5;2;2018;5;27;5:27;327
5077JTJ_2;05/02/2018 5:37;16;FRIO POSITIVO;5;2;2018;5;37;5:37;337
5077JTJ_3;05/02/2018 5:39;-9;CONGELADO;5;2;2018;5;39;5:39;339
5077JTJ_2;05/02/2018 5:52;16;FRIO POSITIVO;5;2;2018;5;52;5:52;352
5077JTJ_3;05/02/2018 5:54;-9;CONGELADO;5;2;2018;5;54;5:54;354
5077JTJ_2;05/02/2018 6:07;16;FRIO POSITIVO;5;2;2018;6;7;6:07;367
5077JTJ_3;05/02/2018 6:09;-3;CONGELADO;5;2;2018;6;9;6:09;369
5077JTJ_4;05/02/2018 6:20;-16;CONGELADO;5;2;2018;6;20;6:20;380
5077JTJ_2;05/02/2018 6:21;16;FRIO POSITIVO;5;2;2018;6;21;6:21;381
5077JTJ_3;05/02/2018 6:24;-3;CONGELADO;5;2;2018;6;24;6:24;384
5077JTJ_1;05/02/2018 6:33;5;FRIO POSITIVO;5;2;2018;6;33;6:33;393
5077JTJ_4;05/02/2018 6:35;-16;CONGELADO;5;2;2018;6;35;6:35;395
5077JTJ_3;05/02/2018 6:35;-6;CONGELADO;5;2;2018;6;35;6:35;395
5077JTJ_2;05/02/2018 6:36;16;FRIO POSITIVO;5;2;2018;6;36;6:36;396
5077JTJ_1;05/02/2018 6:48;5;FRIO POSITIVO;5;2;2018;6;48;6:48;408
5077JTJ_4;05/02/2018 6:50;-16;CONGELADO;5;2;2018;6;50;6:50;410
5077JTJ_3;05/02/2018 6:50;-6;CONGELADO;5;2;2018;6;50;6:50;410
5077JTJ_2;05/02/2018 6:51;16;FRIO POSITIVO;5;2;2018;6;51;6:51;411
5077JTJ_1;05/02/2018 7:03;5;FRIO POSITIVO;5;2;2018;7;3;7:03;423
5077JTJ_4;05/02/2018 7:05;-16;CONGELADO;5;2;2018;7;5;7:05;425
5077JTJ_3;05/02/2018 7:05;-7;CONGELADO;5;2;2018;7;5;7:05;425
5077JTJ_2;05/02/2018 7:06;16;FRIO POSITIVO;5;2;2018;7;6;7:06;426
5077JTJ_1;05/02/2018 7:18;5;FRIO POSITIVO;5;2;2018;7;18;7:18;438
5077JTJ_2;05/02/2018 7:20;16;FRIO POSITIVO;5;2;2018;7;20;7:20;440
5077JTJ_3;05/02/2018 7:20;-9;CONGELADO;5;2;2018;7;20;7:20;440
5077JTJ_3;05/02/2018 7:33;-8;CONGELADO;5;2;2018;7;33;7:33;453
5077JTJ_2;05/02/2018 7:35;16;FRIO POSITIVO;5;2;2018;7;35;7:35;455
5077JTJ_3;05/02/2018 7:48;-8;CONGELADO;5;2;2018;7;48;7:48;468
